oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.915,0.974,0.42,0.002,0.587,0.709,0.591,0.41
No,0,KNN,0.893,0.669,0.514,0.043,0.581,0.735,0.669,0.345
No,0,LR,0.876,0.791,0.188,0.008,0.304,0.59,0.316,0.574
No,0,DT,0.86,0.514,0.519,0.083,0.516,0.718,0.663,0.345
No,0,RF,0.902,0.746,0.486,0.028,0.589,0.729,0.648,0.364
No,0,LightGBM,0.917,0.813,0.552,0.021,0.658,0.766,0.706,0.317
No,0,Adaboost,0.912,0.809,0.514,0.02,0.628,0.747,0.674,0.344
No,0,GBDT,0.888,0.624,0.569,0.058,0.595,0.756,0.71,0.307
Random,0.01,SVM,0.872,0.55,0.613,0.085,0.58,0.764,0.734,0.28
Random,0.01,KNN,0.83,0.44,0.646,0.139,0.523,0.754,0.739,0.269
Random,0.01,LR,0.786,0.364,0.646,0.19,0.466,0.728,0.719,0.284
Random,0.01,DT,0.853,0.49,0.564,0.099,0.524,0.732,0.693,0.316
Random,0.01,RF,0.897,0.686,0.53,0.041,0.598,0.745,0.683,0.333
Random,0.01,LightGBM,0.876,0.563,0.619,0.081,0.589,0.769,0.74,0.276
Random,0.01,Adaboost,0.832,0.446,0.68,0.142,0.538,0.769,0.758,0.248
Random,0.01,GBDT,0.853,0.491,0.608,0.106,0.543,0.751,0.724,0.287
ADASYN,0.15,SVM,0.68,0.282,0.785,0.337,0.415,0.724,0.719,0.283
ADASYN,0.15,KNN,0.779,0.36,0.685,0.205,0.472,0.74,0.736,0.266
ADASYN,0.15,LR,0.671,0.238,0.58,0.314,0.337,0.633,0.629,0.371
ADASYN,0.15,DT,0.822,0.419,0.619,0.144,0.5,0.737,0.718,0.288
ADASYN,0.15,RF,0.863,0.522,0.597,0.092,0.557,0.752,0.72,0.293
ADASYN,0.15,LightGBM,0.869,0.54,0.641,0.092,0.586,0.774,0.751,0.262
ADASYN,0.15,Adaboost,0.79,0.375,0.691,0.194,0.486,0.748,0.744,0.258
ADASYN,0.15,GBDT,0.861,0.514,0.63,0.101,0.566,0.765,0.741,0.271
BorderlineSMOTE,0.02,SVM,0.776,0.361,0.718,0.214,0.481,0.752,0.751,0.25
BorderlineSMOTE,0.02,KNN,0.794,0.378,0.669,0.185,0.483,0.742,0.734,0.269
BorderlineSMOTE,0.02,LR,0.738,0.257,0.431,0.21,0.322,0.61,0.558,0.429
BorderlineSMOTE,0.02,DT,0.829,0.433,0.608,0.134,0.506,0.737,0.714,0.293
BorderlineSMOTE,0.02,RF,0.86,0.513,0.564,0.09,0.537,0.737,0.696,0.315
BorderlineSMOTE,0.02,LightGBM,0.864,0.523,0.641,0.099,0.576,0.771,0.749,0.263
BorderlineSMOTE,0.02,Adaboost,0.8,0.388,0.669,0.178,0.491,0.745,0.737,0.266
BorderlineSMOTE,0.02,GBDT,0.853,0.491,0.58,0.101,0.532,0.739,0.705,0.305
SMOTE,0.02,SVM,0.849,0.481,0.641,0.116,0.55,0.762,0.743,0.267
SMOTE,0.02,KNN,0.801,0.39,0.674,0.178,0.494,0.748,0.741,0.263
SMOTE,0.02,LR,0.789,0.368,0.646,0.187,0.469,0.73,0.72,0.283
SMOTE,0.02,DT,0.843,0.465,0.586,0.114,0.518,0.736,0.705,0.304
SMOTE,0.02,RF,0.87,0.546,0.586,0.082,0.565,0.752,0.715,0.299
SMOTE,0.02,LightGBM,0.885,0.599,0.619,0.07,0.609,0.774,0.743,0.274
SMOTE,0.02,Adaboost,0.845,0.473,0.635,0.119,0.542,0.758,0.738,0.271
SMOTE,0.02,GBDT,0.855,0.498,0.608,0.103,0.547,0.752,0.724,0.287
SVMSMOTE,0.26,SVM,0.868,0.536,0.624,0.091,0.577,0.767,0.74,0.273
SVMSMOTE,0.26,KNN,0.814,0.41,0.663,0.161,0.506,0.751,0.741,0.264
SVMSMOTE,0.26,LR,0.81,0.4,0.641,0.162,0.493,0.739,0.726,0.279
SVMSMOTE,0.26,DT,0.823,0.423,0.619,0.142,0.502,0.738,0.719,0.288
SVMSMOTE,0.26,RF,0.881,0.591,0.575,0.067,0.583,0.754,0.711,0.305
SVMSMOTE,0.26,LightGBM,0.884,0.596,0.602,0.069,0.599,0.767,0.731,0.285
SVMSMOTE,0.26,Adaboost,0.848,0.478,0.613,0.113,0.538,0.75,0.725,0.285
SVMSMOTE,0.26,GBDT,0.873,0.552,0.613,0.084,0.581,0.765,0.735,0.28
SMOTUNED,104.93,SVM,0.866,0.531,0.613,0.091,0.569,0.761,0.732,0.281
SMOTUNED,54.79,KNN,0.792,0.382,0.713,0.195,0.497,0.759,0.756,0.245
SMOTUNED,869.37,LR,0.76,0.337,0.685,0.227,0.452,0.729,0.726,0.275
SMOTUNED,48.71,DT,0.757,0.333,0.685,0.231,0.448,0.727,0.725,0.276
SMOTUNED,223.09,RF,0.817,0.417,0.68,0.16,0.517,0.76,0.751,0.253
SMOTUNED,450.26,LightGBM,0.837,0.458,0.718,0.143,0.559,0.787,0.781,0.224
SMOTUNED,187.14,Adaboost,0.802,0.396,0.707,0.182,0.508,0.763,0.759,0.244
SMOTUNED,295.5,GBDT,0.798,0.392,0.729,0.191,0.51,0.769,0.767,0.234
DAZZLE,1309.69,SVM,0.855,0.0,0.0,0.001,0.0,0.5,0.0,0.707
DAZZLE,1309.69,KNN,0.866,0.882,0.083,0.002,0.152,0.541,0.153,0.649
DAZZLE,1309.69,LR,0.327,0.144,0.74,0.743,0.241,0.499,0.382,0.557
DAZZLE,1309.69,DT,0.291,0.088,0.42,0.731,0.146,0.344,0.328,0.66
DAZZLE,1309.69,RF,0.694,0.206,0.392,0.255,0.27,0.569,0.514,0.466
DAZZLE,1309.69,LightGBM,0.862,0.591,0.144,0.017,0.231,0.563,0.251,0.606
DAZZLE,1309.69,Adaboost,0.875,0.875,0.155,0.004,0.263,0.575,0.268,0.598
DAZZLE,1309.69,GBDT,0.517,0.124,0.387,0.461,0.188,0.463,0.45,0.542
WGAN,175.55,SVM,0.853,0.0,0.0,0.003,0.0,0.499,0.0,0.707
WGAN,175.55,KNN,0.863,0.737,0.077,0.005,0.14,0.536,0.144,0.652
WGAN,175.55,LR,0.853,0.481,0.204,0.037,0.287,0.584,0.337,0.563
WGAN,175.55,DT,0.598,0.182,0.514,0.388,0.269,0.563,0.559,0.44
WGAN,175.55,RF,0.652,0.198,0.464,0.317,0.278,0.574,0.553,0.44
WGAN,175.55,LightGBM,0.857,0.517,0.166,0.026,0.251,0.57,0.283,0.59
WGAN,175.55,Adaboost,0.862,0.786,0.061,0.003,0.113,0.529,0.115,0.664
WGAN,175.55,GBDT,0.643,0.199,0.486,0.331,0.282,0.578,0.563,0.432
RP,1.8701980113983154,SVM,0.904,0.736,0.525,0.032,0.613,0.747,0.681,0.337
RP,1.8701980113983154,KNN,0.868,0.536,0.624,0.091,0.577,0.767,0.74,0.273
RP,1.8701980113983154,LR,0.868,0.54,0.558,0.08,0.549,0.739,0.695,0.318
RP,1.8701980113983154,DT,0.845,0.467,0.541,0.104,0.501,0.719,0.675,0.333
RP,1.8701980113983154,RF,0.902,0.707,0.547,0.038,0.617,0.754,0.697,0.321
RP,1.8701980113983154,LightGBM,0.913,0.786,0.547,0.025,0.645,0.761,0.701,0.321
RP,1.8701980113983154,Adaboost,0.907,0.746,0.536,0.031,0.624,0.753,0.69,0.329
RP,1.8701980113983154,GBDT,0.89,0.63,0.575,0.057,0.601,0.759,0.714,0.303
