oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.9,0.937,0.326,0.004,0.484,0.661,0.491,0.477
No,0,KNN,0.887,0.686,0.398,0.031,0.503,0.684,0.564,0.426
No,0,LR,0.867,0.733,0.122,0.007,0.209,0.557,0.217,0.621
No,0,DT,0.858,0.508,0.508,0.083,0.508,0.713,0.654,0.353
No,0,RF,0.901,0.8,0.42,0.018,0.551,0.701,0.588,0.41
No,0,LightGBM,0.909,0.845,0.453,0.014,0.59,0.72,0.621,0.387
No,0,Adaboost,0.906,0.854,0.42,0.012,0.563,0.704,0.589,0.41
No,0,GBDT,0.9,0.778,0.425,0.02,0.55,0.702,0.593,0.407
Random,0.01,SVM,0.865,0.533,0.541,0.08,0.537,0.731,0.682,0.329
Random,0.01,KNN,0.815,0.398,0.552,0.141,0.463,0.706,0.673,0.332
Random,0.01,LR,0.808,0.382,0.536,0.146,0.446,0.695,0.659,0.344
Random,0.01,DT,0.859,0.512,0.47,0.075,0.49,0.697,0.623,0.379
Random,0.01,RF,0.897,0.732,0.453,0.028,0.56,0.713,0.618,0.387
Random,0.01,LightGBM,0.88,0.596,0.514,0.059,0.552,0.728,0.665,0.346
Random,0.01,Adaboost,0.842,0.466,0.635,0.123,0.537,0.756,0.737,0.272
Random,0.01,GBDT,0.853,0.492,0.536,0.093,0.513,0.721,0.674,0.335
ADASYN,0.06,SVM,0.708,0.291,0.713,0.292,0.413,0.71,0.71,0.29
ADASYN,0.06,KNN,0.792,0.369,0.624,0.18,0.464,0.722,0.709,0.294
ADASYN,0.06,LR,0.692,0.236,0.508,0.277,0.322,0.615,0.597,0.399
ADASYN,0.06,DT,0.835,0.439,0.519,0.112,0.476,0.704,0.655,0.349
ADASYN,0.06,RF,0.87,0.552,0.525,0.072,0.538,0.727,0.671,0.34
ADASYN,0.06,LightGBM,0.88,0.58,0.602,0.074,0.591,0.764,0.73,0.286
ADASYN,0.06,Adaboost,0.798,0.38,0.635,0.175,0.475,0.73,0.718,0.286
ADASYN,0.06,GBDT,0.85,0.483,0.558,0.101,0.518,0.729,0.689,0.321
BorderlineSMOTE,0.02,SVM,0.727,0.3,0.669,0.264,0.414,0.703,0.701,0.299
BorderlineSMOTE,0.02,KNN,0.807,0.387,0.575,0.154,0.462,0.71,0.684,0.32
BorderlineSMOTE,0.02,LR,0.717,0.238,0.436,0.236,0.308,0.6,0.556,0.432
BorderlineSMOTE,0.02,DT,0.832,0.426,0.475,0.108,0.449,0.684,0.62,0.379
BorderlineSMOTE,0.02,RF,0.867,0.54,0.525,0.075,0.532,0.725,0.67,0.34
BorderlineSMOTE,0.02,LightGBM,0.869,0.542,0.569,0.081,0.555,0.744,0.703,0.31
BorderlineSMOTE,0.02,Adaboost,0.782,0.364,0.68,0.2,0.474,0.74,0.735,0.267
BorderlineSMOTE,0.02,GBDT,0.85,0.482,0.525,0.095,0.503,0.715,0.664,0.343
SMOTE,0.01,SVM,0.858,0.507,0.58,0.095,0.541,0.743,0.707,0.304
SMOTE,0.01,KNN,0.826,0.424,0.569,0.13,0.486,0.719,0.688,0.318
SMOTE,0.01,LR,0.793,0.352,0.519,0.161,0.42,0.679,0.642,0.358
SMOTE,0.01,DT,0.843,0.46,0.508,0.101,0.483,0.704,0.65,0.355
SMOTE,0.01,RF,0.878,0.59,0.508,0.06,0.546,0.724,0.66,0.35
SMOTE,0.01,LightGBM,0.884,0.608,0.558,0.061,0.582,0.749,0.7,0.315
SMOTE,0.01,Adaboost,0.868,0.539,0.575,0.083,0.556,0.746,0.707,0.306
SMOTE,0.01,GBDT,0.866,0.535,0.552,0.081,0.543,0.736,0.69,0.322
SVMSMOTE,0.27,SVM,0.861,0.515,0.558,0.088,0.536,0.735,0.692,0.319
SVMSMOTE,0.27,KNN,0.818,0.403,0.552,0.138,0.466,0.707,0.673,0.331
SVMSMOTE,0.27,LR,0.801,0.374,0.564,0.159,0.449,0.702,0.675,0.329
SVMSMOTE,0.27,DT,0.833,0.433,0.497,0.11,0.463,0.694,0.638,0.364
SVMSMOTE,0.27,RF,0.874,0.573,0.497,0.062,0.533,0.717,0.65,0.358
SVMSMOTE,0.27,LightGBM,0.89,0.639,0.547,0.052,0.589,0.747,0.694,0.322
SVMSMOTE,0.27,Adaboost,0.856,0.5,0.558,0.094,0.527,0.732,0.691,0.32
SVMSMOTE,0.27,GBDT,0.846,0.469,0.508,0.097,0.488,0.706,0.65,0.354
SMOTUNED,97.83,SVM,0.869,0.548,0.508,0.071,0.527,0.719,0.657,0.351
SMOTUNED,52.05,KNN,0.789,0.365,0.63,0.184,0.462,0.723,0.711,0.292
SMOTUNED,803.1,LR,0.823,0.416,0.564,0.133,0.479,0.715,0.683,0.323
SMOTUNED,45.98,DT,0.759,0.331,0.652,0.223,0.439,0.715,0.709,0.292
SMOTUNED,222.86,RF,0.821,0.423,0.669,0.154,0.518,0.757,0.747,0.258
SMOTUNED,97.86,LightGBM,0.819,0.42,0.669,0.155,0.516,0.757,0.746,0.259
SMOTUNED,180.52,Adaboost,0.83,0.438,0.63,0.136,0.517,0.747,0.729,0.279
SMOTUNED,282.06,GBDT,0.817,0.415,0.657,0.156,0.509,0.751,0.739,0.266
DAZZLE,882.38,SVM,0.29,0.131,0.696,0.778,0.22,0.459,0.336,0.591
DAZZLE,882.38,KNN,0.516,0.174,0.63,0.503,0.273,0.564,0.556,0.441
DAZZLE,882.38,LR,0.867,0.85,0.094,0.003,0.169,0.546,0.172,0.641
DAZZLE,882.38,DT,0.716,0.246,0.47,0.242,0.323,0.614,0.58,0.412
DAZZLE,882.38,RF,0.722,0.2,0.309,0.209,0.243,0.55,0.445,0.51
DAZZLE,882.38,LightGBM,0.614,0.177,0.459,0.36,0.255,0.549,0.534,0.46
DAZZLE,882.38,Adaboost,0.833,0.333,0.16,0.054,0.216,0.553,0.274,0.595
DAZZLE,882.38,GBDT,0.225,0.148,0.917,0.891,0.255,0.513,0.195,0.633
WGAN,170.31,SVM,0.855,0.0,0.0,0.001,0.0,0.5,0.0,0.707
WGAN,170.31,KNN,0.863,0.737,0.077,0.005,0.14,0.536,0.144,0.652
WGAN,170.31,LR,0.158,0.146,1.0,0.984,0.255,0.508,0.031,0.696
WGAN,170.31,DT,0.555,0.154,0.464,0.43,0.231,0.517,0.512,0.486
WGAN,170.31,RF,0.833,0.359,0.204,0.061,0.261,0.571,0.336,0.564
WGAN,170.31,LightGBM,0.865,0.824,0.077,0.003,0.141,0.537,0.144,0.652
WGAN,170.31,Adaboost,0.872,0.917,0.122,0.002,0.215,0.56,0.217,0.621
WGAN,170.31,GBDT,0.853,0.452,0.077,0.016,0.132,0.531,0.143,0.653
RP,1.8242528438568115,SVM,0.9,0.811,0.403,0.016,0.539,0.694,0.572,0.422
RP,1.8242528438568115,KNN,0.861,0.52,0.503,0.078,0.511,0.712,0.651,0.356
RP,1.8242528438568115,LR,0.868,0.551,0.448,0.061,0.494,0.693,0.606,0.393
RP,1.8242528438568115,DT,0.846,0.467,0.47,0.09,0.468,0.69,0.619,0.38
RP,1.8242528438568115,RF,0.899,0.745,0.453,0.026,0.564,0.713,0.618,0.387
RP,1.8242528438568115,LightGBM,0.912,0.843,0.475,0.015,0.608,0.73,0.641,0.371
RP,1.8242528438568115,Adaboost,0.9,0.762,0.442,0.023,0.559,0.709,0.609,0.395
RP,1.8242528438568115,GBDT,0.884,0.629,0.486,0.048,0.548,0.719,0.644,0.365
Diveplane1,39.26293110847473,SVM,0.876,0.57,0.564,0.072,0.567,0.746,0.701,0.313
Diveplane1,39.26293110847473,KNN,0.796,0.374,0.613,0.173,0.464,0.72,0.704,0.3
Diveplane1,39.26293110847473,LR,0.832,0.43,0.508,0.114,0.466,0.697,0.646,0.357
Diveplane1,39.26293110847473,DT,0.785,0.366,0.669,0.196,0.473,0.736,0.73,0.272
Diveplane1,39.26293110847473,RF,0.852,0.489,0.63,0.111,0.551,0.76,0.737,0.273
Diveplane1,39.26293110847473,LightGBM,0.854,0.496,0.669,0.115,0.569,0.777,0.762,0.248
Diveplane1,39.26293110847473,Adaboost,0.794,0.383,0.707,0.192,0.497,0.758,0.754,0.248
Diveplane1,39.26293110847473,GBDT,0.822,0.419,0.619,0.144,0.5,0.737,0.718,0.288
Diveplane2,33.72108292579651,SVM,0.884,0.619,0.503,0.052,0.555,0.725,0.657,0.354
Diveplane2,33.72108292579651,KNN,0.833,0.436,0.547,0.119,0.485,0.714,0.675,0.331
Diveplane2,33.72108292579651,LR,0.806,0.379,0.536,0.148,0.444,0.694,0.658,0.344
Diveplane2,33.72108292579651,DT,0.844,0.464,0.541,0.105,0.5,0.718,0.675,0.333
Diveplane2,33.72108292579651,RF,0.892,0.662,0.508,0.044,0.575,0.732,0.664,0.349
Diveplane2,33.72108292579651,LightGBM,0.913,0.821,0.508,0.019,0.628,0.745,0.67,0.348
Diveplane2,33.72108292579651,Adaboost,0.883,0.606,0.536,0.059,0.569,0.739,0.683,0.331
Diveplane2,33.72108292579651,GBDT,0.887,0.633,0.514,0.05,0.567,0.732,0.667,0.346
DS,0.23356962203979492,SVM,0.882,0.902,0.204,0.004,0.333,0.6,0.339,0.563
DS,0.23356962203979492,KNN,0.881,0.64,0.403,0.038,0.495,0.683,0.568,0.423
DS,0.23356962203979492,LR,0.869,0.808,0.116,0.005,0.203,0.556,0.208,0.625
DS,0.23356962203979492,DT,0.861,0.517,0.497,0.078,0.507,0.71,0.646,0.36
DS,0.23356962203979492,RF,0.9,0.792,0.42,0.019,0.549,0.701,0.588,0.41
DS,0.23356962203979492,LightGBM,0.91,0.87,0.442,0.011,0.586,0.715,0.611,0.395
