monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_closed_PRs_2mo
74,5,7,1,4,1,44,0,20,84,2543,90,10,0
9,2,5,0,1,1,9,0,12,45,1559,67,11,1
1,1,3,0,0,0,8,1,5,27,349,19,1,0
0,0,1,1,0,0,0,0,41,178,318,14,3,0
0,0,0,0,0,0,0,0,4,15,203,9,3,0
0,0,0,0,0,0,0,0,3,19,192,12,3,0
1,1,1,0,0,0,0,0,3,10,163,8,5,2
1,1,1,0,0,0,3,0,2,4,162,10,5,0
2,1,3,2,2,1,14,0,26,113,176,10,3,0
0,0,0,0,0,0,0,0,13,66,115,8,4,0
0,0,0,0,0,0,0,0,10,43,216,18,2,1
23,2,0,0,0,0,0,0,4,11,142,5,1,0
0,0,1,1,0,0,3,0,4,6,181,8,3,0
0,0,0,0,0,0,0,0,1,1,161,7,1,1
1,1,1,0,0,0,16,1,23,94,523,24,1,3
8,2,1,1,2,1,7,0,32,164,447,23,1,0
0,0,2,3,0,0,14,0,18,64,240,10,2,0
2,2,3,0,1,1,9,0,3,4,246,16,0,1
0,0,0,0,0,0,0,0,6,28,192,10,1,1
0,0,0,1,0,0,3,0,9,21,272,14,2,0
1,1,1,1,0,0,2,0,14,45,175,9,0,0
0,0,0,0,0,0,0,0,2,13,191,10,1,0
0,0,0,0,0,0,0,0,3,3,207,13,1,0
0,0,0,0,0,0,0,0,23,85,240,9,3,1
1,1,1,0,0,0,1,0,15,56,287,18,2,0
12,2,3,1,2,1,25,0,15,41,397,24,1,0
3,3,1,0,0,0,1,0,3,14,184,17,1,0
1,1,0,0,1,1,1,0,5,8,173,7,0,0
0,0,0,0,0,0,0,0,1,14,138,9,2,0
0,0,0,0,0,0,0,0,1,0,157,16,2,0
0,0,1,0,0,0,3,0,2,4,188,12,0,0
0,0,0,0,0,0,0,0,1,7,119,9,1,1
0,0,0,0,0,0,0,0,2,5,206,14,3,0
1,1,1,1,0,0,3,0,19,51,189,13,1,3
0,0,0,0,0,0,0,0,4,9,189,12,2,14
29,2,5,3,1,1,49,0,24,222,210,14,1,7
188,6,35,14,32,1,286,0,188,1553,593,27,2,2
117,5,42,7,35,1,121,0,62,241,360,24,0,0
27,3,8,2,7,1,14,1,20,99,322,19,1,0
33,6,9,0,8,1,18,0,13,40,275,14,0,0
35,2,10,0,11,1,42,0,22,123,247,11,0,0
2,2,1,0,1,1,2,0,3,5,242,5,3,0
55,4,14,0,14,1,30,0,29,232,303,16,0,0
87,1,5,0,5,1,0,1,38,288,299,13,0,0
50,3,12,0,11,1,30,3,20,108,251,9,1,0
20,2,6,0,6,1,16,2,14,125,228,13,0,0
6,3,2,0,1,1,10,0,2,5,299,27,0,0
17,1,4,0,5,1,6,1,13,73,293,14,0,0
22,2,4,0,3,1,2,2,21,148,342,21,0,0
11,2,2,0,2,1,2,0,9,40,306,16,1,0
40,3,8,0,9,1,6,2,12,24,183,15,1,0
20,1,3,0,3,1,0,1,13,320,218,15,0,1
54,4,9,0,9,1,4,4,24,122,439,17,2,0
