monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_closed_PRs_2mo
15,2,0,0,0,0,0,0,1,1,12,2,1,0
8,2,1,0,1,1,0,0,4,12,14,3,1,0
9,1,0,0,0,0,0,0,0,0,8,2,0,0
0,0,0,0,0,0,0,0,3,10,22,4,4,1
6,1,0,0,0,0,0,0,4,13,33,11,3,0
4,2,2,1,1,1,6,0,6,9,24,7,0,0
0,0,0,0,0,0,0,0,5,19,35,6,0,0
36,2,1,0,1,1,0,0,6,8,35,11,0,0
24,3,2,0,2,1,2,0,8,15,49,15,2,0
22,2,1,0,0,0,0,0,7,17,51,19,1,0
22,1,0,0,1,1,0,1,9,31,71,14,2,1
4,2,2,0,1,1,1,0,5,5,51,14,1,0
29,4,5,1,5,1,5,0,12,26,49,11,1,0
7,3,3,0,3,1,2,0,4,3,38,12,2,0
2,2,1,0,1,1,2,0,4,7,60,15,0,0
0,0,0,0,0,0,0,0,3,5,53,14,3,1
72,1,3,0,3,1,0,2,28,34,53,17,0,0
19,4,5,1,3,1,3,0,6,3,74,21,0,1
12,3,5,0,4,1,3,0,7,6,60,15,6,0
81,3,9,1,10,1,4,6,36,55,52,12,1,0
22,1,1,0,1,1,0,0,25,54,51,10,0,1
31,1,3,0,3,1,0,0,11,12,60,9,1,0
14,3,3,1,2,1,10,0,13,54,53,23,0,0
74,4,9,0,6,1,0,8,22,66,52,15,1,1
11,1,0,0,3,1,0,4,16,61,49,13,1,0
18,4,7,1,5,1,7,0,13,20,51,19,0,1
5,3,4,0,1,1,3,0,3,5,33,13,1,0
25,2,2,1,5,1,4,0,28,43,31,2,0,0
0,0,0,0,0,0,0,0,1,0,35,12,1,1
11,2,1,0,1,1,6,2,21,47,17,14,0,0
4,2,3,1,1,1,4,2,10,39,32,12,0,0
2,1,1,0,0,0,1,1,8,8,22,8,0,0
3,2,1,0,1,1,0,1,3,3,32,6,2,2
0,0,0,0,0,0,0,0,3,13,19,9,0,0
40,1,2,2,2,1,3,2,32,77,22,7,0,0
0,0,0,0,0,0,0,0,3,8,35,9,1,0
2,2,1,0,1,1,2,1,2,3,28,8,1,0
1,1,1,0,0,0,0,0,0,0,33,8,0,0
1,1,1,0,0,0,0,1,0,0,21,9,1,0
0,0,0,0,0,0,0,0,0,0,22,11,0,0
3,1,0,0,2,1,0,0,3,2,24,6,0,0
0,0,0,0,0,0,0,1,1,1,20,4,0,0
0,0,0,0,0,0,0,0,0,0,12,5,0,0
0,0,0,0,0,0,0,0,0,0,9,5,1,0
0,0,0,0,0,0,0,0,1,2,17,9,0,0
0,0,0,0,0,0,0,0,1,0,16,2,0,0
0,0,0,0,0,0,0,0,0,0,15,4,0,0
0,0,0,0,0,0,0,0,0,0,8,6,0,0
0,0,0,0,0,0,0,1,0,2,16,3,0,0
0,0,0,0,0,0,0,0,0,0,12,2,0,0
0,0,0,0,0,0,0,0,0,0,13,5,0,0
1,1,1,0,0,0,1,1,0,0,8,6,0,0
0,0,0,0,0,0,0,1,0,4,7,4,0,1
1,1,0,0,0,0,0,0,0,0,10,0,0,0
0,0,1,1,0,0,0,0,1,0,13,7,0,0
0,0,0,0,0,0,0,0,0,0,9,5,0,0
0,0,0,0,0,0,0,0,0,0,5,2,0,0
0,0,0,0,0,0,0,0,0,0,8,2,0,0
