monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_closed_PRs_2mo
22,1,0,0,0,0,0,0,1,3,5,0,4,0
8,1,1,0,1,1,0,0,1,0,0,0,5,0
8,1,0,0,0,0,0,0,0,0,25,12,1,1
11,2,1,0,1,1,2,0,1,1,16,5,0,1
23,2,3,1,2,1,0,0,3,0,4,1,2,1
26,4,7,1,6,2,0,0,12,0,5,1,3,0
37,5,3,1,2,1,2,0,6,1,6,1,3,0
91,7,4,0,4,2,0,0,12,11,7,1,1,0
55,6,3,0,3,1,0,0,7,3,6,2,2,0
66,7,7,0,7,1,0,0,11,8,7,5,3,0
66,8,2,0,2,2,0,0,4,10,12,5,6,1
67,6,1,0,1,1,0,0,2,1,25,3,1,0
71,7,6,1,5,2,10,0,10,28,21,8,3,0
63,6,3,0,3,1,0,0,11,41,21,5,3,0
79,7,5,0,5,1,0,0,12,12,6,1,2,0
55,7,2,0,2,1,0,0,2,0,29,9,3,0
28,6,0,0,0,0,0,0,0,0,31,9,6,1
44,6,1,0,1,1,0,0,2,3,47,18,6,2
52,7,2,1,1,1,2,0,5,11,32,13,6,0
72,9,3,2,1,1,4,0,4,3,38,10,7,0
39,8,0,0,0,0,0,0,1,1,45,12,3,0
10,4,1,0,1,1,0,0,2,1,24,10,3,0
30,3,0,0,0,0,0,0,2,11,25,11,2,0
77,11,1,0,1,1,0,0,5,13,40,13,4,1
57,9,1,0,1,1,0,0,6,16,53,16,2,1
5,1,1,1,0,0,2,0,6,15,87,21,1,0
38,11,1,1,0,0,6,0,14,66,77,20,1,0
31,6,1,0,1,1,0,0,8,23,123,26,2,0
9,3,0,0,0,0,0,0,8,41,66,12,4,1
71,6,1,0,1,1,0,0,13,41,75,22,3,1
25,7,1,1,0,0,2,0,4,14,63,11,1,0
11,1,1,1,0,0,22,0,10,42,65,11,3,0
63,4,1,0,1,1,0,0,11,28,46,10,1,0
54,8,0,0,0,0,0,0,13,31,39,13,3,0
54,11,2,0,2,1,0,0,11,71,62,16,1,0
8,1,0,0,0,0,0,0,7,19,72,23,3,2
134,11,1,0,1,1,0,0,14,23,49,17,2,1
62,3,3,2,1,1,2,0,7,13,78,16,0,0
22,9,2,1,1,1,2,0,12,35,62,22,0,0
1,1,0,0,0,0,0,0,6,11,55,18,3,0
32,2,0,0,0,0,0,0,10,73,186,27,4,0
73,9,1,0,1,1,0,0,15,50,272,28,3,1
63,10,2,0,2,2,0,0,12,36,75,27,0,1
105,12,1,1,0,0,8,0,13,42,64,18,1,0
34,7,2,1,1,1,4,0,6,6,67,19,2,0
4,2,0,0,0,0,0,0,11,30,87,14,1,1
7,3,1,0,1,1,0,0,3,2,51,12,2,1
