oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.935,0.973,0.485,0.002,0.647,0.742,0.653,0.364
No,0,KNN,0.935,0.811,0.615,0.02,0.7,0.798,0.756,0.272
No,0,LR,0.889,0.679,0.191,0.013,0.298,0.589,0.32,0.572
No,0,DT,0.932,0.74,0.696,0.034,0.717,0.831,0.809,0.217
No,0,RF,0.953,0.911,0.682,0.009,0.78,0.836,0.808,0.225
No,0,LightGBM,0.948,0.907,0.649,0.009,0.756,0.82,0.784,0.248
No,0,Adaboost,0.935,0.908,0.525,0.008,0.665,0.759,0.687,0.336
No,0,GBDT,0.939,0.83,0.639,0.018,0.722,0.81,0.774,0.256
Random,0.01,SVM,0.901,0.593,0.639,0.062,0.615,0.789,0.76,0.259
Random,0.01,KNN,0.92,0.654,0.746,0.056,0.697,0.845,0.833,0.184
Random,0.01,LR,0.824,0.363,0.569,0.14,0.443,0.714,0.684,0.321
Random,0.01,DT,0.926,0.682,0.753,0.049,0.715,0.852,0.84,0.178
Random,0.01,RF,0.942,0.774,0.746,0.031,0.76,0.858,0.843,0.181
Random,0.01,LightGBM,0.925,0.677,0.756,0.051,0.714,0.853,0.842,0.176
Random,0.01,Adaboost,0.855,0.447,0.729,0.127,0.554,0.801,0.795,0.212
Random,0.01,GBDT,0.917,0.631,0.783,0.064,0.699,0.859,0.852,0.16
ADASYN,0.03,SVM,0.803,0.358,0.753,0.19,0.485,0.781,0.78,0.221
ADASYN,0.03,KNN,0.885,0.525,0.732,0.093,0.612,0.82,0.81,0.2
ADASYN,0.03,LR,0.716,0.21,0.472,0.25,0.29,0.611,0.579,0.413
ADASYN,0.03,DT,0.913,0.614,0.793,0.07,0.692,0.861,0.856,0.155
ADASYN,0.03,RF,0.93,0.687,0.799,0.051,0.739,0.874,0.868,0.146
ADASYN,0.03,LightGBM,0.906,0.594,0.759,0.073,0.667,0.843,0.835,0.178
ADASYN,0.03,Adaboost,0.806,0.364,0.763,0.188,0.492,0.787,0.787,0.214
ADASYN,0.03,GBDT,0.901,0.578,0.742,0.076,0.65,0.833,0.823,0.19
BorderlineSMOTE,0.04,SVM,0.796,0.347,0.746,0.197,0.474,0.774,0.773,0.227
BorderlineSMOTE,0.04,KNN,0.892,0.547,0.716,0.083,0.62,0.816,0.804,0.209
BorderlineSMOTE,0.04,LR,0.717,0.191,0.401,0.239,0.259,0.581,0.526,0.456
