oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.935,0.961,0.492,0.003,0.65,0.744,0.659,0.359
No,0,KNN,0.93,0.774,0.609,0.025,0.682,0.792,0.75,0.277
No,0,LR,0.887,0.681,0.157,0.01,0.255,0.573,0.271,0.596
No,0,DT,0.933,0.731,0.719,0.037,0.725,0.841,0.823,0.2
No,0,RF,0.953,0.912,0.689,0.009,0.785,0.84,0.813,0.22
No,0,LightGBM,0.951,0.906,0.676,0.01,0.774,0.833,0.803,0.23
No,0,Adaboost,0.938,0.907,0.555,0.008,0.689,0.774,0.712,0.315
No,0,GBDT,0.946,0.885,0.642,0.012,0.744,0.815,0.778,0.253
Random,0.01,SVM,0.917,0.661,0.666,0.048,0.663,0.809,0.783,0.239
Random,0.01,KNN,0.917,0.644,0.732,0.057,0.685,0.838,0.825,0.193
Random,0.01,LR,0.844,0.413,0.639,0.127,0.502,0.756,0.738,0.271
Random,0.01,DT,0.92,0.645,0.779,0.06,0.706,0.86,0.852,0.162
Random,0.01,RF,0.936,0.729,0.773,0.04,0.75,0.866,0.856,0.163
Random,0.01,LightGBM,0.924,0.658,0.793,0.058,0.719,0.867,0.861,0.152
Random,0.01,Adaboost,0.859,0.458,0.779,0.13,0.577,0.825,0.822,0.181
Random,0.01,GBDT,0.904,0.577,0.813,0.084,0.675,0.864,0.861,0.145
ADASYN,0.15,SVM,0.796,0.356,0.803,0.205,0.493,0.799,0.799,0.201
ADASYN,0.15,KNN,0.879,0.507,0.763,0.104,0.609,0.829,0.824,0.183
ADASYN,0.15,LR,0.708,0.211,0.498,0.262,0.297,0.618,0.595,0.4
ADASYN,0.15,DT,0.899,0.564,0.816,0.089,0.667,0.864,0.861,0.144
ADASYN,0.15,RF,0.922,0.649,0.803,0.061,0.717,0.871,0.865,0.146
ADASYN,0.15,LightGBM,0.907,0.59,0.799,0.078,0.679,0.861,0.856,0.152
ADASYN,0.15,Adaboost,0.819,0.388,0.809,0.179,0.525,0.815,0.815,0.185
ADASYN,0.15,GBDT,0.901,0.572,0.773,0.081,0.657,0.846,0.839,0.171
BorderlineSMOTE,0.16,SVM,0.798,0.356,0.789,0.2,0.491,0.794,0.794,0.206
BorderlineSMOTE,0.16,KNN,0.888,0.533,0.726,0.089,0.615,0.818,0.808,0.204
BorderlineSMOTE,0.16,LR,0.732,0.211,0.428,0.226,0.282,0.601,0.551,0.435
BorderlineSMOTE,0.16,DT,0.906,0.589,0.776,0.076,0.67,0.85,0.843,0.167
BorderlineSMOTE,0.16,RF,0.934,0.702,0.803,0.048,0.749,0.877,0.871,0.144
BorderlineSMOTE,0.16,LightGBM,0.902,0.573,0.796,0.083,0.667,0.856,0.852,0.156
BorderlineSMOTE,0.16,Adaboost,0.813,0.379,0.809,0.187,0.516,0.811,0.811,0.189
BorderlineSMOTE,0.16,GBDT,0.902,0.578,0.756,0.078,0.655,0.839,0.831,0.181
SMOTE,0.08,SVM,0.913,0.638,0.689,0.055,0.662,0.817,0.797,0.223
SMOTE,0.08,KNN,0.896,0.559,0.746,0.083,0.639,0.832,0.823,0.189
SMOTE,0.08,LR,0.829,0.383,0.632,0.143,0.477,0.745,0.728,0.279
SMOTE,0.08,DT,0.906,0.587,0.799,0.079,0.677,0.86,0.856,0.152
SMOTE,0.08,RF,0.934,0.713,0.779,0.044,0.744,0.868,0.859,0.159
SMOTE,0.08,LightGBM,0.925,0.677,0.742,0.05,0.708,0.846,0.834,0.185
SMOTE,0.08,Adaboost,0.88,0.509,0.769,0.104,0.613,0.832,0.828,0.179
SMOTE,0.08,GBDT,0.916,0.632,0.763,0.063,0.691,0.85,0.841,0.174
SVMSMOTE,0.95,SVM,0.899,0.57,0.736,0.078,0.642,0.829,0.818,0.195
SVMSMOTE,0.95,KNN,0.888,0.534,0.732,0.09,0.618,0.821,0.812,0.2
SVMSMOTE,0.95,LR,0.794,0.332,0.662,0.188,0.442,0.737,0.73,0.273
SVMSMOTE,0.95,DT,0.911,0.608,0.789,0.071,0.687,0.859,0.853,0.157
SVMSMOTE,0.95,RF,0.934,0.707,0.789,0.046,0.746,0.872,0.864,0.153
SVMSMOTE,0.95,LightGBM,0.92,0.652,0.759,0.057,0.702,0.851,0.841,0.175
SVMSMOTE,0.95,Adaboost,0.856,0.451,0.783,0.134,0.572,0.824,0.822,0.181
SVMSMOTE,0.95,GBDT,0.917,0.629,0.789,0.065,0.7,0.862,0.856,0.156
SMOTUNED,210.01,SVM,0.909,0.628,0.649,0.054,0.638,0.797,0.77,0.251
SMOTUNED,133.63,KNN,0.824,0.394,0.799,0.173,0.528,0.813,0.813,0.187
SMOTUNED,793.36,LR,0.839,0.4,0.615,0.13,0.485,0.743,0.721,0.287
SMOTUNED,90.4,DT,0.814,0.386,0.856,0.191,0.532,0.832,0.832,0.169
SMOTUNED,329.7,RF,0.904,0.574,0.839,0.087,0.682,0.876,0.874,0.129
SMOTUNED,807.3,LightGBM,0.895,0.549,0.823,0.095,0.659,0.864,0.862,0.142
SMOTUNED,274.62,Adaboost,0.87,0.483,0.789,0.119,0.599,0.835,0.833,0.171
