oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.934,0.966,0.482,0.002,0.643,0.74,0.65,0.367
No,0,KNN,0.937,0.838,0.605,0.016,0.703,0.794,0.749,0.279
No,0,LR,0.889,0.742,0.154,0.008,0.255,0.573,0.266,0.598
No,0,DT,0.93,0.735,0.676,0.034,0.704,0.821,0.795,0.231
No,0,RF,0.947,0.883,0.656,0.012,0.752,0.822,0.788,0.244
No,0,LightGBM,0.943,0.897,0.609,0.01,0.725,0.799,0.754,0.277
No,0,Adaboost,0.934,0.902,0.525,0.008,0.664,0.759,0.687,0.336
No,0,GBDT,0.939,0.871,0.589,0.012,0.703,0.788,0.738,0.291
Random,0.01,SVM,0.916,0.663,0.645,0.046,0.654,0.8,0.77,0.253
Random,0.01,KNN,0.918,0.644,0.749,0.058,0.692,0.845,0.834,0.182
Random,0.01,LR,0.835,0.389,0.595,0.132,0.47,0.732,0.706,0.301
Random,0.01,DT,0.922,0.663,0.749,0.054,0.703,0.848,0.836,0.181
Random,0.01,RF,0.935,0.74,0.732,0.036,0.736,0.848,0.832,0.191
Random,0.01,LightGBM,0.93,0.706,0.739,0.043,0.722,0.848,0.834,0.187
Random,0.01,Adaboost,0.861,0.46,0.709,0.117,0.558,0.796,0.786,0.222
Random,0.01,GBDT,0.91,0.606,0.773,0.071,0.679,0.851,0.844,0.168
ADASYN,0.07,SVM,0.796,0.352,0.779,0.202,0.485,0.789,0.789,0.211
ADASYN,0.07,KNN,0.891,0.541,0.753,0.09,0.629,0.831,0.824,0.186
ADASYN,0.07,LR,0.707,0.193,0.435,0.255,0.268,0.59,0.549,0.438
ADASYN,0.07,DT,0.901,0.572,0.769,0.081,0.656,0.844,0.838,0.173
ADASYN,0.07,RF,0.929,0.69,0.766,0.048,0.726,0.859,0.849,0.169
ADASYN,0.07,LightGBM,0.9,0.572,0.742,0.078,0.646,0.832,0.823,0.19
ADASYN,0.07,Adaboost,0.813,0.368,0.719,0.174,0.486,0.773,0.769,0.234
ADASYN,0.07,GBDT,0.899,0.574,0.712,0.074,0.636,0.819,0.805,0.21
BorderlineSMOTE,0.03,SVM,0.8,0.356,0.769,0.196,0.487,0.787,0.786,0.214
BorderlineSMOTE,0.03,KNN,0.899,0.572,0.716,0.075,0.636,0.82,0.807,0.208
BorderlineSMOTE,0.03,LR,0.707,0.192,0.428,0.254,0.265,0.587,0.544,0.442
BorderlineSMOTE,0.03,DT,0.907,0.594,0.769,0.074,0.671,0.848,0.84,0.171
BorderlineSMOTE,0.03,RF,0.929,0.695,0.756,0.047,0.724,0.855,0.843,0.176
BorderlineSMOTE,0.03,LightGBM,0.908,0.601,0.746,0.07,0.666,0.838,0.828,0.186
BorderlineSMOTE,0.03,Adaboost,0.816,0.374,0.726,0.171,0.494,0.778,0.774,0.228
BorderlineSMOTE,0.03,GBDT,0.901,0.58,0.729,0.074,0.646,0.827,0.816,0.199
SMOTE,0.02,SVM,0.912,0.639,0.652,0.052,0.646,0.8,0.773,0.249
SMOTE,0.02,KNN,0.904,0.589,0.739,0.072,0.656,0.833,0.823,0.191
SMOTE,0.02,LR,0.834,0.384,0.569,0.128,0.458,0.72,0.688,0.318
SMOTE,0.02,DT,0.91,0.61,0.749,0.067,0.673,0.841,0.831,0.184
SMOTE,0.02,RF,0.935,0.73,0.749,0.039,0.739,0.855,0.842,0.18
SMOTE,0.02,LightGBM,0.922,0.68,0.696,0.046,0.688,0.825,0.805,0.218
SMOTE,0.02,Adaboost,0.88,0.509,0.682,0.093,0.583,0.795,0.779,0.234
SMOTE,0.02,GBDT,0.917,0.649,0.706,0.054,0.676,0.826,0.808,0.212
SVMSMOTE,0.95,SVM,0.913,0.648,0.645,0.049,0.647,0.798,0.769,0.253
SVMSMOTE,0.95,KNN,0.906,0.602,0.692,0.064,0.644,0.814,0.796,0.222
SVMSMOTE,0.95,LR,0.831,0.377,0.575,0.134,0.456,0.721,0.691,0.315
SVMSMOTE,0.95,DT,0.912,0.616,0.763,0.067,0.682,0.848,0.839,0.174
SVMSMOTE,0.95,RF,0.935,0.731,0.746,0.039,0.738,0.854,0.84,0.182
SVMSMOTE,0.95,LightGBM,0.923,0.679,0.709,0.047,0.694,0.831,0.813,0.208
SVMSMOTE,0.95,Adaboost,0.868,0.475,0.672,0.104,0.557,0.784,0.768,0.243
SVMSMOTE,0.95,GBDT,0.919,0.651,0.742,0.056,0.694,0.843,0.831,0.186
SMOTUNED,205.81,SVM,0.907,0.626,0.605,0.051,0.616,0.777,0.739,0.281
SMOTUNED,106.17,KNN,0.84,0.42,0.769,0.15,0.543,0.81,0.808,0.194
SMOTUNED,1435.55,LR,0.845,0.408,0.579,0.118,0.479,0.73,0.699,0.309
SMOTUNED,77.32,DT,0.824,0.396,0.816,0.175,0.533,0.821,0.821,0.18
SMOTUNED,259.34,RF,0.89,0.538,0.783,0.095,0.638,0.844,0.84,0.168
SMOTUNED,301.06,LightGBM,0.888,0.531,0.803,0.1,0.639,0.851,0.849,0.156
SMOTUNED,248.05,Adaboost,0.852,0.439,0.722,0.13,0.546,0.796,0.789,0.217
SMOTUNED,394.22,GBDT,0.842,0.427,0.819,0.155,0.561,0.832,0.832,0.168
DAZZLE,1072.5,SVM,0.878,0.833,0.017,0.0,0.033,0.508,0.033,0.695
DAZZLE,1072.5,KNN,0.88,0.567,0.114,0.012,0.189,0.551,0.204,0.627
DAZZLE,1072.5,LR,0.894,0.836,0.171,0.005,0.283,0.583,0.291,0.587
DAZZLE,1072.5,DT,0.609,0.163,0.525,0.38,0.249,0.573,0.569,0.43
DAZZLE,1072.5,RF,0.88,0.545,0.181,0.021,0.271,0.58,0.305,0.58
DAZZLE,1072.5,LightGBM,0.881,0.585,0.127,0.013,0.209,0.557,0.225,0.617
DAZZLE,1072.5,Adaboost,0.902,0.787,0.284,0.011,0.418,0.637,0.442,0.506
DAZZLE,1072.5,GBDT,0.878,0.516,0.211,0.028,0.299,0.591,0.346,0.558
WGAN,434.37,SVM,0.869,0.0,0.0,0.008,0.0,0.496,0.0,0.707
WGAN,434.37,KNN,0.871,0.367,0.06,0.015,0.103,0.523,0.113,0.665
WGAN,434.37,LR,0.692,0.213,0.555,0.288,0.308,0.633,0.624,0.375
WGAN,434.37,DT,0.655,0.161,0.425,0.312,0.233,0.556,0.525,0.463
WGAN,434.37,RF,0.366,0.15,0.89,0.708,0.257,0.591,0.44,0.507
WGAN,434.37,LightGBM,0.887,0.602,0.247,0.023,0.351,0.612,0.395,0.532
WGAN,434.37,Adaboost,0.906,0.874,0.278,0.006,0.421,0.636,0.434,0.511
WGAN,434.37,GBDT,0.261,0.124,0.823,0.818,0.215,0.502,0.297,0.592
RP,4.748388290405273,SVM,0.931,0.847,0.538,0.014,0.658,0.762,0.697,0.326
RP,4.748388290405273,KNN,0.92,0.668,0.706,0.049,0.686,0.828,0.81,0.211
RP,4.748388290405273,LR,0.883,0.527,0.525,0.066,0.526,0.729,0.672,0.339
RP,4.748388290405273,DT,0.926,0.694,0.719,0.045,0.706,0.837,0.821,0.201
RP,4.748388290405273,RF,0.944,0.818,0.706,0.022,0.758,0.842,0.82,0.209
RP,4.748388290405273,LightGBM,0.943,0.87,0.629,0.013,0.73,0.808,0.768,0.263
RP,4.748388290405273,Adaboost,0.915,0.672,0.615,0.042,0.642,0.787,0.749,0.274
RP,4.748388290405273,GBDT,0.934,0.768,0.666,0.028,0.713,0.819,0.79,0.237
Diveplane1,78.6755039691925,SVM,0.909,0.635,0.622,0.05,0.628,0.786,0.752,0.27
Diveplane1,78.6755039691925,KNN,0.872,0.487,0.739,0.11,0.587,0.815,0.808,0.2
Diveplane1,78.6755039691925,LR,0.828,0.375,0.595,0.14,0.46,0.728,0.704,0.303
Diveplane1,78.6755039691925,DT,0.844,0.426,0.769,0.146,0.548,0.812,0.809,0.193
Diveplane1,78.6755039691925,RF,0.906,0.594,0.742,0.071,0.66,0.835,0.825,0.189
Diveplane1,78.6755039691925,LightGBM,0.905,0.595,0.726,0.07,0.654,0.828,0.815,0.2
Diveplane1,78.6755039691925,Adaboost,0.854,0.444,0.729,0.128,0.552,0.8,0.794,0.212
Diveplane1,78.6755039691925,GBDT,0.887,0.531,0.709,0.088,0.607,0.811,0.798,0.215
Diveplane2,72.48200273513794,SVM,0.917,0.686,0.605,0.039,0.643,0.783,0.743,0.28
Diveplane2,72.48200273513794,KNN,0.921,0.671,0.709,0.049,0.689,0.83,0.812,0.209
Diveplane2,72.48200273513794,LR,0.845,0.409,0.585,0.119,0.481,0.733,0.703,0.305
Diveplane2,72.48200273513794,DT,0.926,0.691,0.726,0.046,0.708,0.84,0.825,0.197
Diveplane2,72.48200273513794,RF,0.943,0.789,0.736,0.028,0.761,0.854,0.838,0.188
Diveplane2,72.48200273513794,LightGBM,0.94,0.837,0.635,0.017,0.722,0.809,0.772,0.258
Diveplane2,72.48200273513794,Adaboost,0.904,0.61,0.622,0.056,0.616,0.783,0.75,0.27
Diveplane2,72.48200273513794,GBDT,0.936,0.789,0.652,0.024,0.714,0.814,0.782,0.247
DS,0.3876528739929199,SVM,0.925,0.953,0.408,0.003,0.571,0.703,0.579,0.419
DS,0.3876528739929199,KNN,0.929,0.789,0.575,0.022,0.665,0.777,0.725,0.301
DS,0.3876528739929199,LR,0.888,0.737,0.14,0.007,0.236,0.567,0.246,0.608
DS,0.3876528739929199,DT,0.928,0.729,0.666,0.035,0.696,0.815,0.788,0.238
DS,0.3876528739929199,RF,0.948,0.885,0.669,0.012,0.762,0.828,0.798,0.234
DS,0.3876528739929199,LightGBM,0.944,0.909,0.602,0.008,0.724,0.797,0.749,0.281
DS,0.3876528739929199,Adaboost,0.933,0.905,0.508,0.008,0.651,0.75,0.672,0.348
DS,0.3876528739929199,GBDT,0.932,0.82,0.579,0.018,0.678,0.78,0.728,0.298
SDV_FASTML,0.4578583240509033,SVM,0.927,0.843,0.502,0.013,0.629,0.744,0.665,0.352
SDV_FASTML,0.4578583240509033,KNN,0.932,0.778,0.622,0.025,0.691,0.799,0.76,0.268
SDV_FASTML,0.4578583240509033,LR,0.885,0.546,0.418,0.049,0.473,0.685,0.581,0.413
SDV_FASTML,0.4578583240509033,DT,0.925,0.7,0.679,0.041,0.689,0.819,0.795,0.229
SDV_FASTML,0.4578583240509033,RF,0.948,0.862,0.692,0.016,0.768,0.838,0.813,0.218
SDV_FASTML,0.4578583240509033,LightGBM,0.943,0.87,0.629,0.013,0.73,0.808,0.768,0.263
SDV_FASTML,0.4578583240509033,Adaboost,0.927,0.808,0.535,0.018,0.644,0.759,0.693,0.329
SDV_FASTML,0.4578583240509033,GBDT,0.932,0.788,0.609,0.023,0.687,0.793,0.75,0.277
SDV_GC,2.729034423828125,SVM,0.932,0.93,0.488,0.005,0.64,0.742,0.655,0.362
SDV_GC,2.729034423828125,KNN,0.934,0.817,0.595,0.019,0.689,0.788,0.741,0.286
SDV_GC,2.729034423828125,LR,0.888,0.712,0.157,0.009,0.258,0.574,0.271,0.596
SDV_GC,2.729034423828125,DT,0.933,0.746,0.696,0.033,0.72,0.831,0.809,0.216
SDV_GC,2.729034423828125,RF,0.949,0.889,0.669,0.012,0.763,0.829,0.798,0.234
SDV_GC,2.729034423828125,LightGBM,0.942,0.888,0.609,0.011,0.722,0.799,0.754,0.277
SDV_GC,2.729034423828125,Adaboost,0.931,0.862,0.522,0.012,0.65,0.755,0.683,0.338
SDV_GC,2.729034423828125,GBDT,0.937,0.83,0.619,0.018,0.709,0.8,0.759,0.27
SDV_GAN,42.43436527252197,SVM,0.931,0.883,0.505,0.009,0.643,0.748,0.669,0.35
SDV_GAN,42.43436527252197,KNN,0.935,0.828,0.595,0.017,0.693,0.789,0.741,0.286
SDV_GAN,42.43436527252197,LR,0.832,0.349,0.421,0.111,0.382,0.655,0.572,0.417
SDV_GAN,42.43436527252197,DT,0.928,0.724,0.676,0.036,0.699,0.82,0.794,0.231
SDV_GAN,42.43436527252197,RF,0.946,0.869,0.666,0.014,0.754,0.826,0.795,0.237
SDV_GAN,42.43436527252197,LightGBM,0.943,0.897,0.609,0.01,0.725,0.799,0.754,0.277
SDV_GAN,42.43436527252197,Adaboost,0.934,0.888,0.528,0.009,0.662,0.76,0.689,0.334
SDV_GAN,42.43436527252197,GBDT,0.942,0.819,0.682,0.021,0.745,0.831,0.804,0.225
DAZZLE1,2732.883136034012,SVM,0.933,0.942,0.485,0.004,0.64,0.74,0.652,0.364
DAZZLE1,2732.883136034012,KNN,0.928,0.767,0.595,0.025,0.67,0.785,0.739,0.287
DAZZLE1,2732.883136034012,LR,0.865,0.452,0.445,0.076,0.449,0.685,0.601,0.396
DAZZLE1,2732.883136034012,DT,0.928,0.72,0.679,0.037,0.699,0.821,0.796,0.229
DAZZLE1,2732.883136034012,RF,0.946,0.869,0.666,0.014,0.754,0.826,0.795,0.237
DAZZLE1,2732.883136034012,LightGBM,0.943,0.9,0.602,0.009,0.721,0.796,0.749,0.282
DAZZLE1,2732.883136034012,Adaboost,0.935,0.894,0.538,0.009,0.672,0.765,0.698,0.326
DAZZLE1,2732.883136034012,GBDT,0.941,0.867,0.612,0.013,0.718,0.799,0.756,0.274
