oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.934,0.986,0.475,0.001,0.641,0.737,0.644,0.371
No,0,KNN,0.933,0.796,0.612,0.022,0.692,0.795,0.753,0.275
No,0,LR,0.888,0.696,0.161,0.01,0.261,0.575,0.276,0.594
No,0,DT,0.928,0.718,0.689,0.038,0.703,0.825,0.803,0.222
No,0,RF,0.95,0.901,0.669,0.01,0.768,0.829,0.798,0.234
No,0,LightGBM,0.947,0.887,0.656,0.012,0.754,0.822,0.788,0.244
No,0,Adaboost,0.939,0.899,0.565,0.009,0.694,0.778,0.72,0.308
No,0,GBDT,0.939,0.851,0.612,0.015,0.712,0.798,0.755,0.275
Random,0.01,SVM,0.912,0.632,0.679,0.056,0.655,0.812,0.79,0.23
Random,0.01,KNN,0.919,0.647,0.749,0.057,0.695,0.846,0.835,0.182
Random,0.01,LR,0.847,0.419,0.615,0.12,0.499,0.748,0.724,0.285
Random,0.01,DT,0.922,0.665,0.749,0.053,0.704,0.848,0.836,0.181
Random,0.01,RF,0.939,0.762,0.739,0.032,0.75,0.853,0.838,0.186
Random,0.01,LightGBM,0.931,0.702,0.763,0.046,0.731,0.858,0.848,0.171
Random,0.01,Adaboost,0.857,0.452,0.746,0.127,0.563,0.809,0.804,0.201
Random,0.01,GBDT,0.91,0.609,0.756,0.068,0.675,0.844,0.835,0.179
ADASYN,0.07,SVM,0.812,0.374,0.783,0.184,0.506,0.799,0.799,0.201
ADASYN,0.07,KNN,0.877,0.501,0.763,0.107,0.605,0.828,0.823,0.184
ADASYN,0.07,LR,0.716,0.224,0.528,0.257,0.315,0.636,0.618,0.38
ADASYN,0.07,DT,0.908,0.592,0.806,0.078,0.683,0.864,0.86,0.148
ADASYN,0.07,RF,0.923,0.659,0.783,0.057,0.716,0.863,0.855,0.159
ADASYN,0.07,LightGBM,0.899,0.57,0.753,0.08,0.648,0.836,0.828,0.184
ADASYN,0.07,Adaboost,0.798,0.353,0.769,0.198,0.484,0.786,0.785,0.215
ADASYN,0.07,GBDT,0.904,0.587,0.732,0.072,0.652,0.83,0.819,0.196
BorderlineSMOTE,0.03,SVM,0.795,0.354,0.799,0.206,0.49,0.797,0.797,0.203
BorderlineSMOTE,0.03,KNN,0.886,0.527,0.726,0.092,0.61,0.817,0.807,0.204
BorderlineSMOTE,0.03,LR,0.738,0.219,0.438,0.22,0.292,0.609,0.561,0.427
BorderlineSMOTE,0.03,DT,0.901,0.571,0.776,0.082,0.658,0.847,0.841,0.169
BorderlineSMOTE,0.03,RF,0.925,0.671,0.776,0.054,0.719,0.861,0.853,0.163
BorderlineSMOTE,0.03,LightGBM,0.908,0.607,0.732,0.067,0.664,0.833,0.821,0.195
BorderlineSMOTE,0.03,Adaboost,0.817,0.379,0.756,0.174,0.505,0.791,0.789,0.212
BorderlineSMOTE,0.03,GBDT,0.908,0.605,0.742,0.068,0.667,0.837,0.826,0.188
SMOTE,0.02,SVM,0.912,0.63,0.696,0.057,0.661,0.819,0.801,0.219
SMOTE,0.02,KNN,0.895,0.558,0.729,0.081,0.632,0.824,0.813,0.2
SMOTE,0.02,LR,0.835,0.392,0.605,0.132,0.476,0.737,0.713,0.294
SMOTE,0.02,DT,0.911,0.61,0.769,0.069,0.68,0.85,0.842,0.17
SMOTE,0.02,RF,0.935,0.722,0.773,0.042,0.746,0.865,0.855,0.164
SMOTE,0.02,LightGBM,0.923,0.681,0.712,0.047,0.696,0.833,0.815,0.206
SMOTE,0.02,Adaboost,0.867,0.473,0.716,0.112,0.57,0.802,0.793,0.216
SMOTE,0.02,GBDT,0.91,0.619,0.702,0.061,0.658,0.821,0.804,0.215
SVMSMOTE,0.81,SVM,0.877,0.501,0.746,0.104,0.599,0.821,0.814,0.194
SVMSMOTE,0.81,KNN,0.891,0.545,0.716,0.084,0.618,0.816,0.803,0.21
SVMSMOTE,0.81,LR,0.788,0.325,0.666,0.194,0.437,0.736,0.729,0.273
SVMSMOTE,0.81,DT,0.907,0.593,0.779,0.075,0.673,0.852,0.846,0.165
SVMSMOTE,0.81,RF,0.93,0.699,0.763,0.046,0.73,0.858,0.848,0.171
SVMSMOTE,0.81,LightGBM,0.913,0.626,0.722,0.061,0.671,0.831,0.817,0.201
SVMSMOTE,0.81,Adaboost,0.847,0.43,0.739,0.138,0.544,0.801,0.796,0.209
SVMSMOTE,0.81,GBDT,0.91,0.611,0.736,0.066,0.668,0.835,0.823,0.193
SMOTUNED,202.04,SVM,0.905,0.608,0.642,0.058,0.624,0.792,0.764,0.256
SMOTUNED,95.55,KNN,0.832,0.404,0.756,0.157,0.526,0.799,0.797,0.205
SMOTUNED,1355.96,LR,0.844,0.412,0.622,0.125,0.496,0.749,0.727,0.281
SMOTUNED,81.06,DT,0.831,0.41,0.846,0.171,0.552,0.837,0.837,0.163
SMOTUNED,253.21,RF,0.893,0.543,0.819,0.097,0.653,0.861,0.859,0.145
SMOTUNED,116.47,LightGBM,0.892,0.542,0.799,0.095,0.646,0.852,0.849,0.157
SMOTUNED,239.68,Adaboost,0.858,0.454,0.749,0.127,0.566,0.811,0.807,0.199
SMOTUNED,361.22,GBDT,0.867,0.477,0.823,0.127,0.604,0.848,0.847,0.154
DAZZLE,755.62,SVM,0.877,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,755.62,KNN,0.885,0.763,0.097,0.004,0.172,0.546,0.177,0.639
DAZZLE,755.62,LR,0.193,0.118,0.86,0.9,0.208,0.48,0.179,0.644
DAZZLE,755.62,DT,0.534,0.136,0.522,0.465,0.216,0.529,0.528,0.472
DAZZLE,755.62,RF,0.807,0.242,0.268,0.118,0.254,0.575,0.411,0.525
DAZZLE,755.62,LightGBM,0.725,0.112,0.177,0.198,0.137,0.489,0.29,0.598
DAZZLE,755.62,Adaboost,0.842,0.373,0.415,0.098,0.393,0.658,0.568,0.42
DAZZLE,755.62,GBDT,0.875,0.468,0.12,0.019,0.191,0.551,0.214,0.622
WGAN,285.85,SVM,0.869,0.0,0.0,0.009,0.0,0.496,0.0,0.707
WGAN,285.85,KNN,0.88,0.557,0.114,0.013,0.189,0.551,0.204,0.627
WGAN,285.85,LR,0.847,0.359,0.301,0.076,0.327,0.613,0.454,0.497
WGAN,285.85,DT,0.669,0.106,0.227,0.269,0.145,0.479,0.347,0.578
WGAN,285.85,RF,0.468,0.136,0.619,0.553,0.223,0.533,0.519,0.475
WGAN,285.85,LightGBM,0.897,0.889,0.187,0.003,0.309,0.592,0.315,0.575
WGAN,285.85,Adaboost,0.885,0.92,0.077,0.001,0.142,0.538,0.143,0.653
WGAN,285.85,GBDT,0.118,0.107,0.839,0.984,0.19,0.428,0.031,0.705
RP,3.5345118045806885,SVM,0.932,0.853,0.545,0.013,0.665,0.766,0.702,0.322
RP,3.5345118045806885,KNN,0.923,0.687,0.689,0.044,0.688,0.822,0.801,0.222
RP,3.5345118045806885,LR,0.89,0.555,0.559,0.063,0.557,0.748,0.7,0.315
RP,3.5345118045806885,DT,0.93,0.716,0.716,0.04,0.716,0.838,0.82,0.203
RP,3.5345118045806885,RF,0.947,0.827,0.719,0.021,0.769,0.849,0.829,0.199
RP,3.5345118045806885,LightGBM,0.941,0.836,0.649,0.018,0.731,0.815,0.781,0.249
RP,3.5345118045806885,Adaboost,0.913,0.646,0.652,0.05,0.649,0.801,0.773,0.249
RP,3.5345118045806885,GBDT,0.937,0.777,0.686,0.028,0.728,0.829,0.804,0.223
Diveplane1,61.37965226173401,SVM,0.904,0.606,0.632,0.058,0.619,0.787,0.757,0.263
Diveplane1,61.37965226173401,KNN,0.858,0.453,0.726,0.123,0.558,0.801,0.794,0.213
Diveplane1,61.37965226173401,LR,0.847,0.417,0.615,0.121,0.497,0.747,0.724,0.285
Diveplane1,61.37965226173401,DT,0.844,0.427,0.776,0.146,0.551,0.815,0.813,0.189
Diveplane1,61.37965226173401,RF,0.901,0.572,0.769,0.081,0.656,0.844,0.838,0.173
Diveplane1,61.37965226173401,LightGBM,0.899,0.565,0.783,0.085,0.656,0.849,0.844,0.165
Diveplane1,61.37965226173401,Adaboost,0.847,0.432,0.769,0.142,0.554,0.814,0.811,0.192
Diveplane1,61.37965226173401,GBDT,0.871,0.486,0.749,0.111,0.589,0.819,0.813,0.194
Diveplane2,52.23884129524231,SVM,0.919,0.683,0.642,0.042,0.662,0.8,0.769,0.255
Diveplane2,52.23884129524231,KNN,0.905,0.595,0.726,0.07,0.654,0.828,0.815,0.2
Diveplane2,52.23884129524231,LR,0.847,0.419,0.612,0.119,0.497,0.746,0.722,0.287
Diveplane2,52.23884129524231,DT,0.925,0.677,0.742,0.05,0.708,0.846,0.834,0.185
Diveplane2,52.23884129524231,RF,0.948,0.821,0.736,0.023,0.776,0.857,0.84,0.188
Diveplane2,52.23884129524231,LightGBM,0.943,0.845,0.656,0.017,0.738,0.819,0.787,0.244
Diveplane2,52.23884129524231,Adaboost,0.914,0.654,0.639,0.048,0.646,0.796,0.765,0.258
Diveplane2,52.23884129524231,GBDT,0.939,0.79,0.692,0.026,0.738,0.833,0.809,0.218
DS,0.34984326362609863,SVM,0.922,0.951,0.388,0.003,0.551,0.693,0.559,0.433
DS,0.34984326362609863,KNN,0.933,0.796,0.612,0.022,0.692,0.795,0.753,0.275
DS,0.34984326362609863,LR,0.889,0.746,0.147,0.007,0.246,0.57,0.256,0.603
DS,0.34984326362609863,DT,0.929,0.73,0.679,0.035,0.704,0.822,0.797,0.228
DS,0.34984326362609863,RF,0.951,0.901,0.672,0.01,0.77,0.831,0.801,0.232
DS,0.34984326362609863,LightGBM,0.947,0.89,0.649,0.011,0.75,0.819,0.783,0.248
DS,0.34984326362609863,Adaboost,0.939,0.908,0.559,0.008,0.692,0.775,0.715,0.312
DS,0.34984326362609863,GBDT,0.93,0.762,0.632,0.028,0.691,0.802,0.766,0.261
SDV_FASTML,0.45024561882019043,SVM,0.931,0.902,0.495,0.008,0.639,0.744,0.661,0.357
SDV_FASTML,0.45024561882019043,KNN,0.931,0.773,0.625,0.026,0.691,0.8,0.762,0.266
SDV_FASTML,0.45024561882019043,LR,0.891,0.575,0.448,0.047,0.504,0.701,0.61,0.392
SDV_FASTML,0.45024561882019043,DT,0.931,0.719,0.719,0.04,0.719,0.84,0.822,0.201
SDV_FASTML,0.45024561882019043,RF,0.951,0.878,0.699,0.014,0.778,0.843,0.818,0.213
