oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.874,0.75,0.061,0.003,0.113,0.529,0.115,0.664
No,0,KNN,0.842,0.273,0.122,0.049,0.169,0.537,0.217,0.622
No,0,LR,0.866,0.462,0.122,0.022,0.194,0.55,0.218,0.621
No,0,DT,0.823,0.333,0.347,0.105,0.34,0.621,0.5,0.468
No,0,RF,0.885,0.75,0.184,0.009,0.295,0.587,0.31,0.577
No,0,LightGBM,0.861,0.421,0.163,0.034,0.235,0.565,0.279,0.592
No,0,Adaboost,0.847,0.3,0.122,0.043,0.174,0.54,0.217,0.621
No,0,GBDT,0.807,0.189,0.143,0.093,0.163,0.525,0.247,0.61
Random,0.01,SVM,0.761,0.237,0.367,0.179,0.288,0.594,0.508,0.465
Random,0.01,KNN,0.788,0.286,0.408,0.154,0.336,0.627,0.551,0.432
Random,0.01,LR,0.732,0.252,0.531,0.238,0.342,0.646,0.626,0.372
Random,0.01,DT,0.818,0.298,0.286,0.102,0.292,0.592,0.434,0.51
Random,0.01,RF,0.866,0.48,0.245,0.04,0.324,0.602,0.39,0.535
Random,0.01,LightGBM,0.853,0.4,0.245,0.056,0.304,0.595,0.389,0.535
Random,0.01,Adaboost,0.751,0.238,0.408,0.198,0.301,0.605,0.541,0.441
Random,0.01,GBDT,0.836,0.342,0.265,0.077,0.299,0.594,0.412,0.522
ADASYN,0.04,SVM,0.788,0.279,0.388,0.151,0.325,0.618,0.532,0.446
ADASYN,0.04,KNN,0.796,0.329,0.531,0.164,0.406,0.684,0.649,0.351
ADASYN,0.04,LR,0.724,0.255,0.571,0.253,0.352,0.659,0.647,0.352
ADASYN,0.04,DT,0.788,0.212,0.224,0.127,0.218,0.549,0.357,0.556
ADASYN,0.04,RF,0.839,0.378,0.347,0.086,0.362,0.63,0.503,0.466
ADASYN,0.04,LightGBM,0.842,0.353,0.245,0.068,0.289,0.588,0.388,0.536
ADASYN,0.04,Adaboost,0.847,0.409,0.367,0.08,0.387,0.644,0.525,0.451
ADASYN,0.04,GBDT,0.839,0.359,0.286,0.077,0.318,0.604,0.436,0.508
BorderlineSMOTE,0.04,SVM,0.802,0.308,0.408,0.139,0.351,0.635,0.554,0.43
BorderlineSMOTE,0.04,KNN,0.796,0.315,0.469,0.154,0.377,0.658,0.604,0.391
BorderlineSMOTE,0.04,LR,0.737,0.257,0.531,0.231,0.347,0.65,0.628,0.37
BorderlineSMOTE,0.04,DT,0.78,0.23,0.286,0.145,0.255,0.57,0.428,0.515
BorderlineSMOTE,0.04,RF,0.828,0.34,0.327,0.096,0.333,0.615,0.48,0.481
BorderlineSMOTE,0.04,LightGBM,0.845,0.371,0.265,0.068,0.31,0.599,0.413,0.522
BorderlineSMOTE,0.04,Adaboost,0.823,0.351,0.408,0.114,0.377,0.647,0.559,0.426
BorderlineSMOTE,0.04,GBDT,0.826,0.31,0.265,0.09,0.286,0.588,0.411,0.523
SMOTE,0.01,SVM,0.783,0.278,0.408,0.16,0.331,0.624,0.549,0.434
SMOTE,0.01,KNN,0.802,0.324,0.469,0.148,0.383,0.661,0.605,0.39
SMOTE,0.01,LR,0.727,0.248,0.531,0.244,0.338,0.643,0.624,0.374
SMOTE,0.01,DT,0.777,0.185,0.204,0.136,0.194,0.534,0.33,0.571
SMOTE,0.01,RF,0.845,0.4,0.367,0.083,0.383,0.642,0.525,0.451
SMOTE,0.01,LightGBM,0.847,0.389,0.286,0.068,0.329,0.609,0.437,0.507
SMOTE,0.01,Adaboost,0.826,0.362,0.429,0.114,0.393,0.657,0.578,0.412
SMOTE,0.01,GBDT,0.828,0.333,0.306,0.093,0.319,0.607,0.458,0.495
SVMSMOTE,0.05,SVM,0.834,0.314,0.224,0.074,0.262,0.575,0.361,0.551
SVMSMOTE,0.05,KNN,0.807,0.311,0.388,0.13,0.345,0.629,0.536,0.443
SVMSMOTE,0.05,LR,0.796,0.255,0.286,0.127,0.269,0.58,0.431,0.513
SVMSMOTE,0.05,DT,0.796,0.279,0.347,0.136,0.309,0.606,0.495,0.472
SVMSMOTE,0.05,RF,0.855,0.432,0.327,0.065,0.372,0.631,0.484,0.478
SVMSMOTE,0.05,LightGBM,0.836,0.324,0.224,0.071,0.265,0.577,0.362,0.551
SVMSMOTE,0.05,Adaboost,0.831,0.354,0.347,0.096,0.351,0.626,0.501,0.467
SVMSMOTE,0.05,GBDT,0.85,0.426,0.408,0.083,0.417,0.662,0.565,0.423
SMOTUNED,37.73,SVM,0.681,0.227,0.592,0.306,0.328,0.643,0.639,0.361
SMOTUNED,26.01,KNN,0.745,0.233,0.408,0.204,0.296,0.602,0.54,0.443
SMOTUNED,680.03,LR,0.724,0.245,0.531,0.247,0.335,0.642,0.623,0.375
SMOTUNED,33.26,DT,0.649,0.18,0.469,0.324,0.26,0.573,0.554,0.44
SMOTUNED,188.32,RF,0.759,0.27,0.49,0.201,0.348,0.645,0.607,0.388
SMOTUNED,70.39,LightGBM,0.748,0.282,0.592,0.228,0.382,0.682,0.67,0.331
SMOTUNED,222.25,Adaboost,0.686,0.217,0.531,0.29,0.308,0.62,0.607,0.39
SMOTUNED,398.63,GBDT,0.759,0.293,0.592,0.216,0.392,0.688,0.674,0.327
DAZZLE,981.75,SVM,0.858,0.0,0.0,0.012,0.0,0.494,0.0,0.707
DAZZLE,981.75,KNN,0.475,0.152,0.653,0.552,0.246,0.55,0.531,0.461
DAZZLE,981.75,LR,0.619,0.15,0.408,0.349,0.22,0.53,0.502,0.486
DAZZLE,981.75,DT,0.284,0.078,0.408,0.735,0.13,0.337,0.322,0.667
DAZZLE,981.75,RF,0.389,0.154,0.816,0.676,0.26,0.57,0.464,0.495
DAZZLE,981.75,LightGBM,0.45,0.164,0.776,0.599,0.27,0.588,0.529,0.452
DAZZLE,981.75,Adaboost,0.751,0.218,0.347,0.188,0.268,0.579,0.486,0.481
DAZZLE,981.75,GBDT,0.558,0.067,0.184,0.386,0.098,0.399,0.283,0.638
WGAN,46.76,SVM,0.858,0.0,0.0,0.012,0.0,0.494,0.0,0.707
WGAN,46.76,KNN,0.416,0.131,0.612,0.614,0.216,0.499,0.473,0.514
