oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.874,1.0,0.041,0.0,0.078,0.52,0.078,0.678
No,0,KNN,0.879,0.567,0.347,0.04,0.43,0.653,0.51,0.463
No,0,LR,0.874,0.571,0.163,0.019,0.254,0.572,0.28,0.592
No,0,DT,0.839,0.383,0.367,0.09,0.375,0.639,0.523,0.452
No,0,RF,0.895,0.812,0.265,0.009,0.4,0.628,0.419,0.52
No,0,LightGBM,0.882,0.619,0.265,0.025,0.371,0.62,0.417,0.52
No,0,Adaboost,0.853,0.364,0.163,0.043,0.225,0.56,0.279,0.592
No,0,GBDT,0.831,0.37,0.408,0.105,0.388,0.652,0.561,0.425
Random,0.01,SVM,0.737,0.267,0.571,0.238,0.364,0.667,0.653,0.347
Random,0.01,KNN,0.772,0.291,0.51,0.188,0.37,0.661,0.627,0.371
Random,0.01,LR,0.751,0.288,0.612,0.228,0.392,0.692,0.683,0.318
Random,0.01,DT,0.807,0.311,0.388,0.13,0.345,0.629,0.536,0.443
Random,0.01,RF,0.887,0.64,0.327,0.028,0.432,0.649,0.489,0.477
Random,0.01,LightGBM,0.871,0.514,0.367,0.052,0.429,0.657,0.529,0.449
Random,0.01,Adaboost,0.764,0.286,0.531,0.201,0.371,0.665,0.638,0.361
Random,0.01,GBDT,0.869,0.5,0.429,0.065,0.462,0.682,0.588,0.407
ADASYN,0.02,SVM,0.756,0.267,0.49,0.204,0.345,0.643,0.607,0.388
ADASYN,0.02,KNN,0.767,0.298,0.571,0.204,0.392,0.684,0.665,0.336
ADASYN,0.02,LR,0.729,0.264,0.592,0.25,0.365,0.671,0.662,0.338
ADASYN,0.02,DT,0.804,0.338,0.51,0.151,0.407,0.679,0.637,0.362
ADASYN,0.02,RF,0.903,0.686,0.49,0.034,0.571,0.728,0.65,0.362
ADASYN,0.02,LightGBM,0.882,0.581,0.367,0.04,0.45,0.664,0.531,0.448
ADASYN,0.02,Adaboost,0.831,0.379,0.449,0.111,0.411,0.669,0.597,0.397
ADASYN,0.02,GBDT,0.869,0.5,0.388,0.059,0.437,0.665,0.549,0.435
BorderlineSMOTE,0.01,SVM,0.786,0.299,0.469,0.167,0.365,0.651,0.601,0.393
BorderlineSMOTE,0.01,KNN,0.786,0.326,0.592,0.185,0.42,0.703,0.686,0.317
BorderlineSMOTE,0.01,LR,0.735,0.255,0.531,0.235,0.344,0.648,0.627,0.371
BorderlineSMOTE,0.01,DT,0.845,0.4,0.367,0.083,0.383,0.642,0.525,0.451
BorderlineSMOTE,0.01,RF,0.89,0.605,0.469,0.046,0.529,0.712,0.629,0.377
BorderlineSMOTE,0.01,LightGBM,0.882,0.571,0.408,0.046,0.476,0.681,0.572,0.42
BorderlineSMOTE,0.01,Adaboost,0.828,0.373,0.449,0.114,0.407,0.667,0.596,0.398
BorderlineSMOTE,0.01,GBDT,0.863,0.48,0.49,0.08,0.485,0.705,0.639,0.365
SMOTE,0.04,SVM,0.753,0.258,0.469,0.204,0.333,0.633,0.591,0.402
SMOTE,0.04,KNN,0.759,0.284,0.551,0.21,0.375,0.671,0.649,0.35
SMOTE,0.04,LR,0.735,0.273,0.612,0.247,0.377,0.683,0.675,0.325
SMOTE,0.04,DT,0.823,0.369,0.49,0.127,0.421,0.682,0.628,0.372
SMOTE,0.04,RF,0.906,0.694,0.51,0.034,0.588,0.738,0.668,0.347
SMOTE,0.04,LightGBM,0.887,0.606,0.408,0.04,0.488,0.684,0.573,0.419
SMOTE,0.04,Adaboost,0.828,0.358,0.388,0.105,0.373,0.641,0.541,0.439
SMOTE,0.04,GBDT,0.858,0.457,0.429,0.077,0.442,0.676,0.585,0.408
SVMSMOTE,0.04,SVM,0.869,0.5,0.286,0.043,0.364,0.621,0.44,0.506
SVMSMOTE,0.04,KNN,0.818,0.37,0.551,0.142,0.443,0.705,0.671,0.333
SVMSMOTE,0.04,LR,0.826,0.357,0.408,0.111,0.381,0.649,0.559,0.426
SVMSMOTE,0.04,DT,0.796,0.255,0.286,0.127,0.269,0.58,0.431,0.513
SVMSMOTE,0.04,RF,0.906,0.792,0.388,0.015,0.521,0.686,0.556,0.433
SVMSMOTE,0.04,LightGBM,0.887,0.606,0.408,0.04,0.488,0.684,0.573,0.419
SVMSMOTE,0.04,Adaboost,0.866,0.489,0.449,0.071,0.468,0.689,0.605,0.393
SVMSMOTE,0.04,GBDT,0.842,0.391,0.367,0.086,0.379,0.64,0.524,0.452
SMOTUNED,36.79,SVM,0.681,0.227,0.592,0.306,0.328,0.643,0.639,0.361
SMOTUNED,26.9,KNN,0.74,0.289,0.673,0.25,0.405,0.712,0.71,0.291
SMOTUNED,817.48,LR,0.713,0.254,0.612,0.272,0.359,0.67,0.665,0.335
SMOTUNED,33.39,DT,0.713,0.258,0.633,0.275,0.367,0.679,0.676,0.324
SMOTUNED,192.32,RF,0.732,0.278,0.653,0.256,0.39,0.698,0.695,0.305
SMOTUNED,78.01,LightGBM,0.812,0.37,0.612,0.157,0.462,0.727,0.709,0.296
SMOTUNED,224.81,Adaboost,0.751,0.288,0.612,0.228,0.392,0.692,0.683,0.318
SMOTUNED,426.06,GBDT,0.716,0.276,0.714,0.284,0.398,0.715,0.715,0.285
DAZZLE,1075.0,SVM,0.869,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1075.0,KNN,0.799,0.067,0.041,0.086,0.051,0.477,0.078,0.681
DAZZLE,1075.0,LR,0.536,0.131,0.449,0.451,0.203,0.499,0.494,0.503
DAZZLE,1075.0,DT,0.617,0.127,0.327,0.34,0.183,0.494,0.437,0.533
DAZZLE,1075.0,RF,0.491,0.166,0.714,0.543,0.269,0.586,0.557,0.434
DAZZLE,1075.0,LightGBM,0.684,0.215,0.531,0.293,0.306,0.619,0.606,0.391
DAZZLE,1075.0,Adaboost,0.799,0.094,0.061,0.09,0.074,0.486,0.115,0.667
DAZZLE,1075.0,GBDT,0.343,0.15,0.857,0.735,0.255,0.561,0.405,0.529
WGAN,48.23,SVM,0.853,0.125,0.02,0.022,0.035,0.499,0.04,0.693
WGAN,48.23,KNN,0.78,0.054,0.041,0.108,0.047,0.466,0.078,0.683
WGAN,48.23,LR,0.491,0.073,0.245,0.472,0.112,0.386,0.335,0.63
WGAN,48.23,DT,0.424,0.119,0.531,0.593,0.195,0.469,0.461,0.535
WGAN,48.23,RF,0.147,0.129,0.959,0.975,0.228,0.492,0.048,0.69
WGAN,48.23,LightGBM,0.568,0.192,0.714,0.454,0.303,0.63,0.619,0.379
WGAN,48.23,Adaboost,0.74,0.147,0.204,0.179,0.171,0.513,0.327,0.577
WGAN,48.23,GBDT,0.273,0.149,0.959,0.83,0.258,0.564,0.288,0.588
RP,0.8846046924591064,SVM,0.737,0.298,0.735,0.262,0.424,0.736,0.736,0.264
RP,0.8846046924591064,KNN,0.777,0.307,0.551,0.188,0.394,0.681,0.656,0.344
RP,0.8846046924591064,LR,0.708,0.241,0.571,0.272,0.339,0.65,0.64,0.359
RP,0.8846046924591064,DT,0.818,0.349,0.449,0.127,0.393,0.661,0.593,0.4
RP,0.8846046924591064,RF,0.898,0.622,0.571,0.052,0.596,0.759,0.713,0.305
RP,0.8846046924591064,LightGBM,0.879,0.567,0.347,0.04,0.43,0.653,0.51,0.463
RP,0.8846046924591064,Adaboost,0.869,0.5,0.449,0.068,0.473,0.691,0.606,0.393
RP,0.8846046924591064,GBDT,0.847,0.426,0.469,0.096,0.447,0.687,0.618,0.381
Howso1,47.669105052948,SVM,0.697,0.265,0.735,0.309,0.389,0.713,0.712,0.288
Howso1,47.669105052948,KNN,0.67,0.236,0.673,0.33,0.349,0.672,0.672,0.328
Howso1,47.669105052948,LR,0.713,0.246,0.571,0.265,0.344,0.653,0.643,0.356
Howso1,47.669105052948,DT,0.684,0.241,0.653,0.312,0.352,0.671,0.67,0.33
Howso1,47.669105052948,RF,0.748,0.294,0.653,0.238,0.405,0.708,0.703,0.297
Howso1,47.669105052948,LightGBM,0.767,0.321,0.694,0.222,0.439,0.736,0.733,0.267
Howso1,47.669105052948,Adaboost,0.735,0.277,0.633,0.25,0.385,0.691,0.686,0.314
Howso1,47.669105052948,GBDT,0.767,0.306,0.612,0.21,0.408,0.701,0.69,0.312
Howso2,45.339367628097534,SVM,0.772,0.324,0.673,0.213,0.437,0.73,0.726,0.276
Howso2,45.339367628097534,KNN,0.823,0.361,0.449,0.12,0.4,0.664,0.595,0.399
Howso2,45.339367628097534,LR,0.756,0.298,0.633,0.225,0.405,0.704,0.697,0.305
Howso2,45.339367628097534,DT,0.78,0.254,0.347,0.154,0.293,0.596,0.492,0.475
Howso2,45.339367628097534,RF,0.861,0.457,0.327,0.059,0.381,0.634,0.485,0.478
Howso2,45.339367628097534,LightGBM,0.869,0.5,0.265,0.04,0.347,0.613,0.416,0.52
Howso2,45.339367628097534,Adaboost,0.861,0.452,0.286,0.052,0.35,0.617,0.439,0.506
Howso2,45.339367628097534,GBDT,0.842,0.391,0.367,0.086,0.379,0.64,0.524,0.452
DS,0.334244966506958,SVM,0.871,1.0,0.02,0.0,0.04,0.51,0.04,0.693
DS,0.334244966506958,KNN,0.866,0.483,0.286,0.046,0.359,0.62,0.44,0.506
DS,0.334244966506958,LR,0.879,0.643,0.184,0.015,0.286,0.584,0.31,0.577
DS,0.334244966506958,DT,0.794,0.259,0.306,0.133,0.28,0.587,0.453,0.5
DS,0.334244966506958,RF,0.887,0.733,0.224,0.012,0.344,0.606,0.366,0.548
DS,0.334244966506958,LightGBM,0.898,0.789,0.306,0.012,0.441,0.647,0.467,0.491
DS,0.334244966506958,Adaboost,0.842,0.292,0.143,0.052,0.192,0.545,0.248,0.607
DS,0.334244966506958,GBDT,0.869,0.5,0.388,0.059,0.437,0.665,0.549,0.435
SDV_FASTML,0.5925965309143066,SVM,0.863,0.375,0.061,0.015,0.105,0.523,0.115,0.664
SDV_FASTML,0.5925965309143066,KNN,0.861,0.457,0.327,0.059,0.381,0.634,0.485,0.478
SDV_FASTML,0.5925965309143066,LR,0.823,0.293,0.245,0.09,0.267,0.578,0.386,0.538
SDV_FASTML,0.5925965309143066,DT,0.777,0.257,0.367,0.16,0.303,0.603,0.511,0.462
SDV_FASTML,0.5925965309143066,RF,0.89,0.654,0.347,0.028,0.453,0.66,0.511,0.462
SDV_FASTML,0.5925965309143066,LightGBM,0.869,0.5,0.245,0.037,0.329,0.604,0.39,0.535
SDV_FASTML,0.5925965309143066,Adaboost,0.853,0.406,0.265,0.059,0.321,0.603,0.414,0.521
SDV_FASTML,0.5925965309143066,GBDT,0.858,0.452,0.388,0.071,0.418,0.658,0.547,0.436
SDV_GC,4.238731622695923,SVM,0.879,1.0,0.082,0.0,0.151,0.541,0.151,0.649
SDV_GC,4.238731622695923,KNN,0.885,0.607,0.347,0.034,0.442,0.656,0.511,0.462
SDV_GC,4.238731622695923,LR,0.866,0.467,0.143,0.025,0.219,0.559,0.249,0.606
SDV_GC,4.238731622695923,DT,0.834,0.377,0.408,0.102,0.392,0.653,0.561,0.425
SDV_GC,4.238731622695923,RF,0.89,0.833,0.204,0.006,0.328,0.599,0.339,0.563
SDV_GC,4.238731622695923,LightGBM,0.893,0.714,0.306,0.019,0.429,0.644,0.467,0.491
SDV_GC,4.238731622695923,Adaboost,0.853,0.375,0.184,0.046,0.247,0.569,0.308,0.578
SDV_GC,4.238731622695923,GBDT,0.828,0.377,0.469,0.117,0.418,0.676,0.613,0.384
SDV_GAN,27.759910583496094,SVM,0.877,0.588,0.204,0.022,0.303,0.591,0.338,0.563
SDV_GAN,27.759910583496094,KNN,0.885,0.6,0.367,0.037,0.456,0.665,0.532,0.448
SDV_GAN,27.759910583496094,LR,0.871,0.524,0.224,0.031,0.314,0.597,0.365,0.549
SDV_GAN,27.759910583496094,DT,0.812,0.328,0.408,0.127,0.364,0.641,0.556,0.428
