monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_closed_issues_12mo
22,1,0,0,0,0,0,0,1,3,5,0,4,10
8,1,1,0,1,1,0,0,1,0,0,0,5,11
8,1,0,0,0,0,0,0,0,0,25,12,1,12
11,2,1,0,1,1,2,0,1,1,16,5,0,2
23,2,3,1,2,1,0,0,3,0,4,1,2,0
26,4,7,1,6,2,0,0,12,0,5,1,3,2
37,5,3,1,2,1,2,0,6,1,6,1,3,5
91,7,4,0,4,2,0,0,12,11,7,1,1,4
55,6,3,0,3,1,0,0,7,3,6,2,2,1
66,7,7,0,7,1,0,0,11,8,7,5,3,2
66,8,2,0,2,2,0,0,4,10,12,5,6,2
67,6,1,0,1,1,0,0,2,1,25,3,1,5
71,7,6,1,5,2,10,0,10,28,21,8,3,6
63,6,3,0,3,1,0,0,11,41,21,5,3,6
79,7,5,0,5,1,0,0,12,12,6,1,2,14
55,7,2,0,2,1,0,0,2,0,29,9,3,8
28,6,0,0,0,0,0,0,0,0,31,9,6,8
44,6,1,0,1,1,0,0,2,3,47,18,6,13
52,7,2,1,1,1,2,0,5,11,32,13,6,4
72,9,3,2,1,1,4,0,4,3,38,10,7,10
39,8,0,0,0,0,0,0,1,1,45,12,3,11
10,4,1,0,1,1,0,0,2,1,24,10,3,13
30,3,0,0,0,0,0,0,2,11,25,11,2,11
77,11,1,0,1,1,0,0,5,13,40,13,4,7
57,9,1,0,1,1,0,0,6,16,53,16,2,14
5,1,1,1,0,0,2,0,6,15,87,21,1,7
38,11,1,1,0,0,6,0,14,66,77,20,1,12
31,6,1,0,1,1,0,0,8,23,123,26,2,6
9,3,0,0,0,0,0,0,8,41,66,12,4,10
71,6,1,0,1,1,0,0,13,41,75,22,3,15
25,7,1,1,0,0,2,0,4,14,63,11,1,12
11,1,1,1,0,0,22,0,10,42,65,11,3,13
63,4,1,0,1,1,0,0,11,28,46,10,1,6
54,8,0,0,0,0,0,0,13,31,39,13,3,11
54,11,2,0,2,1,0,0,11,71,62,16,1,3
8,1,0,0,0,0,0,0,7,19,72,23,3,8
134,11,1,0,1,1,0,0,14,23,49,17,2,10
