monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_closed_issues_12mo
44,18,0,0,0,0,0,1,1,21,18,0,0,65
106,12,31,5,22,3,548,137,99,1494,34,11,0,37
40,13,33,2,26,2,383,9,60,318,30,14,1,49
86,15,75,5,60,3,1098,15,123,839,53,11,0,72
71,21,47,7,38,3,775,15,74,490,31,22,0,126
116,13,72,15,62,3,1057,19,145,949,34,10,0,95
56,8,27,2,26,4,383,9,67,434,35,15,0,71
69,12,43,4,33,4,669,9,72,356,32,25,0,82
36,11,26,4,21,4,437,7,48,322,30,15,0,29
87,14,52,3,51,5,629,12,93,534,33,8,0,37
62,19,51,5,37,7,644,5,63,502,26,17,0,72
36,17,26,3,25,6,404,12,61,438,24,19,0,17
68,12,50,4,45,6,504,7,65,357,36,12,0,42
26,11,26,2,19,4,338,3,37,258,24,12,1,48
40,16,27,3,28,5,423,12,49,381,28,15,0,45
53,15,34,6,30,3,732,8,72,604,28,12,0,15
166,13,82,6,77,4,798,9,126,616,30,12,0,55
98,20,58,2,51,5,597,6,95,451,26,12,0,66
52,13,34,3,32,4,347,3,71,326,28,7,0,44
49,15,45,5,37,3,655,6,82,416,24,16,2,45
20,14,17,4,17,4,277,6,29,243,26,8,0,10
34,15,25,2,22,4,502,4,37,337,19,7,0,29
61,17,28,3,29,5,348,9,72,353,34,14,0,18
15,7,21,1,10,3,242,5,17,130,21,20,0,64
34,16,23,3,23,4,295,10,42,238,25,10,0,43
40,9,27,1,25,5,285,5,48,282,21,10,0,58
23,13,15,1,17,4,144,5,45,209,13,12,1,45
14,6,14,1,9,3,134,3,15,55,16,9,1,55
45,15,32,6,29,5,384,4,55,271,21,5,0,10
47,17,32,6,33,3,336,7,66,295,19,17,0,56
27,8,16,2,14,2,172,7,44,225,18,6,0,70
35,13,36,8,26,3,388,12,45,288,21,11,0,51
8,4,13,2,6,3,104,2,10,36,12,11,0,64
