monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_closed_issues_12mo
4,1,1,1,0,0,12,0,1,6,1,0,2,37
1,1,0,0,0,0,0,0,0,0,0,0,2,21
2,1,0,0,0,0,0,0,0,0,3,0,0,13
7,1,0,0,0,0,0,1,5,16,4,0,1,35
3,1,0,0,0,0,0,0,4,3,2,0,2,23
1,1,0,0,0,0,0,0,10,10,3,2,1,44
45,3,0,0,0,0,0,1,6,9,9,0,2,12
91,3,7,0,3,2,9,1,38,52,2,1,1,48
73,3,7,1,7,2,12,0,29,58,4,0,3,37
100,3,6,1,7,3,10,1,26,48,11,0,0,28
54,3,3,0,4,2,5,1,15,55,2,0,3,28
56,4,7,0,3,1,28,1,18,82,6,1,1,69
77,3,15,1,16,3,32,0,37,122,7,2,2,33
81,4,4,0,6,4,2,0,21,63,6,2,1,49
47,3,3,0,2,1,6,1,13,50,8,3,0,43
78,2,9,0,10,2,14,0,35,145,8,0,3,21
100,3,8,0,8,2,2,0,23,20,5,2,1,60
101,3,18,0,15,3,10,1,44,129,4,0,1,17
42,3,5,2,4,1,4,0,12,6,12,1,1,12
105,3,19,4,14,3,39,0,48,109,8,2,2,20
127,3,10,3,8,3,11,1,37,84,8,2,0,25
82,5,6,0,7,2,11,0,28,89,4,0,1,13
87,3,7,1,4,2,1,1,28,61,6,2,3,14
89,2,16,1,16,2,15,0,69,153,13,0,0,22
81,3,10,0,8,2,7,2,33,82,6,1,0,22
61,2,17,1,19,1,25,1,49,169,9,2,1,10
66,3,13,0,13,2,2,1,43,124,6,2,2,19
41,5,8,1,7,3,8,0,21,21,6,4,1,6
79,6,7,1,7,2,1,1,60,155,6,2,1,43
92,4,0,0,0,0,0,3,17,55,10,1,0,8
28,4,0,0,0,0,0,0,12,37,13,4,2,9
30,4,1,0,1,1,0,0,20,99,9,1,3,5
25,3,0,0,0,0,0,0,25,103,13,2,0,27
30,4,0,0,0,0,0,0,13,62,8,2,2,92
64,5,0,0,0,0,0,1,14,25,7,3,0,70
93,4,1,1,0,0,0,1,22,36,10,2,0,22
64,5,0,0,0,0,0,1,22,23,8,2,1,28
93,4,0,0,0,0,0,0,10,35,8,1,1,7
71,3,0,0,0,0,0,0,19,133,6,1,0,35
91,5,0,0,0,0,0,0,6,8,5,0,0,17
146,4,2,2,0,0,0,1,43,146,9,3,0,27
111,3,1,0,0,0,0,0,8,17,21,2,1,6
127,5,1,1,0,0,0,7,9,12,14,1,2,41
140,4,0,0,0,0,0,1,5,16,10,4,0,22
291,4,0,0,0,0,0,7,27,50,11,1,0,15
120,2,0,0,0,0,0,1,92,108,10,2,1,12
165,4,0,0,0,0,0,6,70,136,12,3,0,48
112,3,0,0,0,0,0,9,22,75,34,4,0,29
102,3,1,0,0,0,1,6,28,98,24,5,1,9
