oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.903,0.968,0.337,0.002,0.5,0.668,0.504,0.469
No,0,KNN,0.905,0.746,0.519,0.03,0.612,0.745,0.677,0.341
No,0,LR,0.873,0.744,0.177,0.01,0.286,0.583,0.3,0.582
No,0,DT,0.846,0.471,0.536,0.101,0.501,0.717,0.671,0.336
No,0,RF,0.908,0.76,0.525,0.028,0.621,0.748,0.682,0.337
No,0,LightGBM,0.919,0.821,0.558,0.02,0.664,0.769,0.711,0.313
No,0,Adaboost,0.911,0.772,0.541,0.027,0.636,0.757,0.696,0.325
No,0,GBDT,0.889,0.636,0.541,0.052,0.585,0.745,0.689,0.326
Random,0.01,SVM,0.867,0.58,0.282,0.034,0.379,0.624,0.436,0.508
Random,0.01,KNN,0.815,0.404,0.597,0.148,0.482,0.724,0.702,0.304
Random,0.01,LR,0.471,0.171,0.691,0.566,0.274,0.562,0.533,0.456
Random,0.01,DT,0.855,0.498,0.552,0.094,0.524,0.729,0.686,0.323
Random,0.01,RF,0.899,0.678,0.569,0.046,0.619,0.762,0.713,0.306
Random,0.01,LightGBM,0.881,0.584,0.613,0.074,0.598,0.77,0.738,0.278
Random,0.01,Adaboost,0.837,0.456,0.657,0.132,0.538,0.763,0.748,0.26
Random,0.01,GBDT,0.845,0.469,0.591,0.113,0.523,0.739,0.71,0.3
ADASYN,0.05,SVM,0.832,0.4,0.331,0.084,0.363,0.624,0.487,0.476
ADASYN,0.05,KNN,0.739,0.316,0.696,0.254,0.434,0.721,0.72,0.28
ADASYN,0.05,LR,0.571,0.166,0.492,0.416,0.248,0.538,0.534,0.465
ADASYN,0.05,DT,0.822,0.414,0.569,0.136,0.479,0.717,0.686,0.32
ADASYN,0.05,RF,0.874,0.557,0.624,0.084,0.589,0.77,0.743,0.272
ADASYN,0.05,LightGBM,0.876,0.562,0.646,0.085,0.602,0.781,0.758,0.257
ADASYN,0.05,Adaboost,0.781,0.369,0.735,0.211,0.492,0.762,0.761,0.24
ADASYN,0.05,GBDT,0.862,0.519,0.591,0.092,0.553,0.749,0.716,0.296
BorderlineSMOTE,0.05,SVM,0.831,0.397,0.331,0.085,0.361,0.623,0.487,0.476
BorderlineSMOTE,0.05,KNN,0.782,0.362,0.674,0.2,0.471,0.737,0.732,0.27
BorderlineSMOTE,0.05,LR,0.57,0.164,0.486,0.416,0.246,0.535,0.531,0.468
BorderlineSMOTE,0.05,DT,0.823,0.42,0.591,0.138,0.491,0.727,0.701,0.305
BorderlineSMOTE,0.05,RF,0.87,0.545,0.597,0.084,0.57,0.756,0.723,0.291
