oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.906,0.957,0.365,0.003,0.528,0.681,0.534,0.449
No,0,KNN,0.906,0.789,0.475,0.021,0.593,0.727,0.64,0.371
No,0,LR,0.876,0.838,0.171,0.006,0.284,0.583,0.292,0.586
No,0,DT,0.845,0.464,0.47,0.091,0.467,0.689,0.619,0.381
No,0,RF,0.9,0.746,0.47,0.027,0.576,0.721,0.633,0.376
No,0,LightGBM,0.911,0.835,0.475,0.016,0.606,0.73,0.641,0.371
No,0,Adaboost,0.905,0.782,0.475,0.022,0.591,0.726,0.639,0.371
No,0,GBDT,0.899,0.725,0.481,0.031,0.578,0.725,0.643,0.368
Random,0.01,SVM,0.854,0.489,0.238,0.042,0.32,0.598,0.381,0.54
Random,0.01,KNN,0.81,0.383,0.514,0.14,0.439,0.687,0.643,0.358
Random,0.01,LR,0.472,0.185,0.785,0.581,0.3,0.602,0.546,0.438
Random,0.01,DT,0.836,0.439,0.497,0.107,0.466,0.695,0.639,0.363
Random,0.01,RF,0.892,0.677,0.486,0.039,0.566,0.724,0.646,0.364
Random,0.01,LightGBM,0.883,0.601,0.558,0.062,0.579,0.748,0.7,0.316
Random,0.01,Adaboost,0.837,0.453,0.635,0.129,0.529,0.753,0.735,0.274
Random,0.01,GBDT,0.849,0.482,0.586,0.106,0.529,0.74,0.708,0.302
ADASYN,0.04,SVM,0.819,0.345,0.282,0.09,0.31,0.596,0.43,0.512
ADASYN,0.04,KNN,0.735,0.298,0.619,0.246,0.402,0.686,0.68,0.321
ADASYN,0.04,LR,0.569,0.183,0.575,0.432,0.278,0.571,0.571,0.429
ADASYN,0.04,DT,0.831,0.435,0.569,0.125,0.493,0.722,0.69,0.317
ADASYN,0.04,RF,0.867,0.539,0.536,0.077,0.537,0.729,0.678,0.333
ADASYN,0.04,LightGBM,0.869,0.544,0.58,0.082,0.561,0.749,0.711,0.303
ADASYN,0.04,Adaboost,0.799,0.382,0.635,0.173,0.477,0.731,0.719,0.285
ADASYN,0.04,GBDT,0.864,0.526,0.558,0.085,0.542,0.737,0.693,0.318
BorderlineSMOTE,0.02,SVM,0.814,0.333,0.293,0.099,0.312,0.597,0.442,0.505
BorderlineSMOTE,0.02,KNN,0.772,0.336,0.597,0.198,0.43,0.699,0.684,0.318
