oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.905,0.97,0.354,0.002,0.518,0.676,0.522,0.457
No,0,KNN,0.9,0.748,0.459,0.026,0.568,0.716,0.624,0.383
No,0,LR,0.872,0.763,0.16,0.008,0.265,0.576,0.276,0.594
No,0,DT,0.857,0.505,0.508,0.084,0.507,0.712,0.654,0.353
No,0,RF,0.896,0.738,0.436,0.026,0.549,0.705,0.603,0.399
No,0,LightGBM,0.907,0.808,0.464,0.019,0.589,0.723,0.63,0.379
No,0,Adaboost,0.9,0.786,0.425,0.02,0.552,0.703,0.593,0.407
No,0,GBDT,0.898,0.705,0.503,0.035,0.587,0.734,0.661,0.352
Random,0.01,SVM,0.861,0.542,0.249,0.035,0.341,0.607,0.395,0.532
Random,0.01,KNN,0.814,0.394,0.541,0.141,0.456,0.7,0.664,0.339
Random,0.01,LR,0.464,0.172,0.713,0.578,0.277,0.567,0.53,0.457
Random,0.01,DT,0.837,0.436,0.453,0.099,0.444,0.677,0.603,0.393
Random,0.01,RF,0.891,0.69,0.442,0.034,0.539,0.704,0.607,0.395
Random,0.01,LightGBM,0.887,0.62,0.558,0.058,0.587,0.75,0.701,0.315
Random,0.01,Adaboost,0.837,0.452,0.624,0.128,0.524,0.748,0.728,0.281
Random,0.01,GBDT,0.838,0.45,0.547,0.113,0.494,0.717,0.677,0.33
ADASYN,0.02,SVM,0.831,0.396,0.326,0.084,0.358,0.621,0.481,0.48
ADASYN,0.02,KNN,0.739,0.302,0.619,0.241,0.406,0.689,0.682,0.319
ADASYN,0.02,LR,0.539,0.163,0.53,0.46,0.249,0.535,0.535,0.465
ADASYN,0.02,DT,0.795,0.359,0.536,0.161,0.43,0.687,0.654,0.347
ADASYN,0.02,RF,0.869,0.544,0.541,0.076,0.543,0.733,0.683,0.329
ADASYN,0.02,LightGBM,0.857,0.505,0.564,0.093,0.533,0.735,0.695,0.316
ADASYN,0.02,Adaboost,0.793,0.375,0.652,0.183,0.476,0.734,0.725,0.278
ADASYN,0.02,GBDT,0.848,0.476,0.547,0.101,0.509,0.723,0.68,0.328
BorderlineSMOTE,0.04,SVM,0.81,0.341,0.337,0.11,0.339,0.614,0.489,0.475
BorderlineSMOTE,0.04,KNN,0.773,0.335,0.586,0.196,0.427,0.695,0.678,0.324
BorderlineSMOTE,0.04,LR,0.526,0.172,0.602,0.487,0.268,0.558,0.554,0.445
BorderlineSMOTE,0.04,DT,0.804,0.366,0.492,0.143,0.42,0.674,0.625,0.373
BorderlineSMOTE,0.04,RF,0.863,0.525,0.519,0.079,0.522,0.72,0.664,0.344
