oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.903,0.954,0.343,0.003,0.504,0.67,0.51,0.465
No,0,KNN,0.892,0.686,0.459,0.035,0.55,0.712,0.622,0.384
No,0,LR,0.873,0.8,0.155,0.007,0.259,0.574,0.268,0.598
No,0,DT,0.846,0.469,0.497,0.095,0.483,0.701,0.642,0.362
No,0,RF,0.897,0.736,0.448,0.027,0.557,0.71,0.613,0.391
No,0,LightGBM,0.907,0.802,0.47,0.02,0.592,0.725,0.635,0.375
No,0,Adaboost,0.901,0.806,0.414,0.017,0.547,0.699,0.583,0.414
No,0,GBDT,0.873,0.573,0.453,0.057,0.506,0.698,0.612,0.389
Random,0.01,SVM,0.848,0.44,0.204,0.044,0.279,0.58,0.337,0.563
Random,0.01,KNN,0.817,0.4,0.541,0.137,0.46,0.702,0.665,0.338
Random,0.01,LR,0.459,0.172,0.724,0.586,0.278,0.569,0.527,0.458
Random,0.01,DT,0.843,0.461,0.525,0.103,0.491,0.711,0.662,0.344
Random,0.01,RF,0.898,0.719,0.481,0.032,0.576,0.725,0.642,0.368
Random,0.01,LightGBM,0.887,0.617,0.569,0.06,0.592,0.755,0.709,0.308
Random,0.01,Adaboost,0.837,0.451,0.586,0.12,0.51,0.733,0.703,0.305
Random,0.01,GBDT,0.861,0.518,0.564,0.088,0.54,0.738,0.696,0.315
ADASYN,0.06,SVM,0.813,0.312,0.249,0.092,0.277,0.578,0.39,0.535
ADASYN,0.06,KNN,0.747,0.314,0.635,0.234,0.42,0.701,0.695,0.306
ADASYN,0.06,LR,0.583,0.182,0.541,0.41,0.273,0.566,0.565,0.435
ADASYN,0.06,DT,0.814,0.396,0.547,0.141,0.459,0.703,0.668,0.335
ADASYN,0.06,RF,0.871,0.55,0.58,0.08,0.565,0.75,0.712,0.302
ADASYN,0.06,LightGBM,0.865,0.528,0.58,0.088,0.553,0.746,0.709,0.303
ADASYN,0.06,Adaboost,0.778,0.351,0.63,0.196,0.451,0.717,0.706,0.296
