monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_closed_PRs_12mo
73,2,1,0,1,1,0,0,1,0,1,1,2,0
68,1,0,0,0,0,0,0,0,0,7,1,1,0
37,1,0,0,0,0,0,0,0,0,13,9,5,0
46,1,0,0,0,0,0,0,0,0,17,6,1,0
0,0,0,0,0,0,0,0,0,0,20,4,1,0
0,0,0,0,0,0,0,0,0,0,17,7,0,1
2,1,0,0,0,0,0,0,0,0,29,13,3,0
0,0,0,0,0,0,0,0,0,0,28,5,5,0
0,0,0,0,0,0,0,0,0,0,23,11,0,0
0,0,0,0,0,0,0,0,0,0,35,17,0,0
0,0,0,0,0,0,0,0,0,0,34,7,1,0
6,2,2,0,2,1,0,0,2,0,47,13,0,0
0,0,0,0,0,0,0,0,0,0,39,14,3,0
0,0,0,0,0,0,0,0,0,0,21,8,1,0
0,0,0,0,0,0,0,0,0,0,53,15,2,0
0,0,0,0,0,0,0,0,0,0,43,15,2,0
1,1,0,0,0,0,0,0,0,0,60,19,1,0
0,0,1,1,0,0,0,0,1,0,48,10,1,0
0,0,0,0,0,0,0,0,0,0,61,26,1,0
0,0,0,0,0,0,0,0,0,0,42,20,0,0
0,0,0,0,0,0,0,1,0,2,83,23,1,0
