oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.835,0.75,0.293,0.025,0.421,0.634,0.45,0.5
No,0,KNN,0.81,0.545,0.439,0.094,0.486,0.672,0.591,0.402
No,0,LR,0.835,0.633,0.463,0.069,0.535,0.697,0.619,0.383
No,0,DT,0.8,0.512,0.512,0.126,0.512,0.693,0.646,0.356
No,0,RF,0.845,0.708,0.415,0.044,0.523,0.685,0.578,0.415
No,0,LightGBM,0.845,0.727,0.39,0.038,0.508,0.676,0.555,0.432
No,0,Adaboost,0.825,0.625,0.366,0.057,0.462,0.655,0.527,0.45
No,0,GBDT,0.845,0.679,0.463,0.057,0.551,0.703,0.622,0.382
Random,0.01,SVM,0.8,0.512,0.512,0.126,0.512,0.693,0.646,0.356
Random,0.01,KNN,0.77,0.455,0.61,0.189,0.521,0.711,0.696,0.307
Random,0.01,LR,0.815,0.542,0.634,0.138,0.584,0.748,0.731,0.277
Random,0.01,DT,0.775,0.447,0.415,0.132,0.43,0.641,0.561,0.424
Random,0.01,RF,0.84,0.655,0.463,0.063,0.543,0.7,0.62,0.382
Random,0.01,LightGBM,0.825,0.607,0.415,0.069,0.493,0.673,0.574,0.417
Random,0.01,Adaboost,0.85,0.622,0.683,0.107,0.651,0.788,0.774,0.237
Random,0.01,GBDT,0.82,0.576,0.463,0.088,0.514,0.688,0.615,0.384
ADASYN,0.01,SVM,0.74,0.404,0.561,0.214,0.469,0.674,0.655,0.345
ADASYN,0.01,KNN,0.76,0.446,0.707,0.226,0.547,0.74,0.739,0.262
ADASYN,0.01,LR,0.785,0.483,0.683,0.189,0.566,0.747,0.742,0.261
ADASYN,0.01,DT,0.765,0.448,0.634,0.201,0.525,0.716,0.707,0.295
ADASYN,0.01,RF,0.835,0.591,0.634,0.113,0.612,0.76,0.739,0.271
ADASYN,0.01,LightGBM,0.845,0.647,0.537,0.075,0.587,0.731,0.679,0.332
ADASYN,0.01,Adaboost,0.815,0.545,0.585,0.126,0.565,0.73,0.701,0.306
ADASYN,0.01,GBDT,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
BorderlineSMOTE,0.01,SVM,0.785,0.476,0.488,0.138,0.482,0.675,0.623,0.375
BorderlineSMOTE,0.01,KNN,0.75,0.426,0.634,0.22,0.51,0.707,0.7,0.302
BorderlineSMOTE,0.01,LR,0.8,0.511,0.585,0.145,0.545,0.72,0.695,0.311
BorderlineSMOTE,0.01,DT,0.77,0.451,0.561,0.176,0.5,0.692,0.667,0.334
BorderlineSMOTE,0.01,RF,0.81,0.541,0.488,0.107,0.513,0.69,0.631,0.37
BorderlineSMOTE,0.01,LightGBM,0.835,0.611,0.537,0.088,0.571,0.724,0.676,0.334
BorderlineSMOTE,0.01,Adaboost,0.835,0.605,0.561,0.094,0.582,0.733,0.693,0.318
BorderlineSMOTE,0.01,GBDT,0.825,0.575,0.561,0.107,0.568,0.727,0.689,0.32
SMOTE,0.01,SVM,0.815,0.553,0.512,0.107,0.532,0.703,0.651,0.353
SMOTE,0.01,KNN,0.765,0.448,0.634,0.201,0.525,0.716,0.707,0.295
SMOTE,0.01,LR,0.82,0.556,0.61,0.126,0.581,0.742,0.718,0.29
SMOTE,0.01,DT,0.77,0.451,0.561,0.176,0.5,0.692,0.667,0.334
SMOTE,0.01,RF,0.815,0.553,0.512,0.107,0.532,0.703,0.651,0.353
SMOTE,0.01,LightGBM,0.835,0.618,0.512,0.082,0.56,0.715,0.658,0.35
SMOTE,0.01,Adaboost,0.8,0.513,0.488,0.119,0.5,0.684,0.628,0.372
SMOTE,0.01,GBDT,0.835,0.618,0.512,0.082,0.56,0.715,0.658,0.35
SVMSMOTE,0.03,SVM,0.79,0.488,0.488,0.132,0.488,0.678,0.625,0.374
SVMSMOTE,0.03,KNN,0.76,0.431,0.537,0.182,0.478,0.677,0.648,0.352
SVMSMOTE,0.03,LR,0.83,0.581,0.61,0.113,0.595,0.748,0.723,0.287
SVMSMOTE,0.03,DT,0.78,0.469,0.561,0.164,0.511,0.699,0.672,0.331
SVMSMOTE,0.03,RF,0.82,0.568,0.512,0.101,0.538,0.706,0.653,0.352
SVMSMOTE,0.03,LightGBM,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
SVMSMOTE,0.03,Adaboost,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
SVMSMOTE,0.03,GBDT,0.825,0.571,0.585,0.113,0.578,0.736,0.705,0.304
SMOTUNED,31.33,SVM,0.795,0.5,0.512,0.132,0.506,0.69,0.644,0.357
SMOTUNED,24.38,KNN,0.745,0.426,0.707,0.245,0.532,0.731,0.73,0.27
SMOTUNED,439.59,LR,0.81,0.531,0.634,0.145,0.578,0.745,0.728,0.278
SMOTUNED,33.8,DT,0.755,0.438,0.683,0.226,0.533,0.728,0.725,0.275
SMOTUNED,177.85,RF,0.795,0.5,0.634,0.164,0.559,0.735,0.721,0.283
SMOTUNED,67.18,LightGBM,0.815,0.536,0.732,0.164,0.619,0.784,0.781,0.222
SMOTUNED,262.24,Adaboost,0.81,0.526,0.732,0.17,0.612,0.781,0.778,0.225
SMOTUNED,506.01,GBDT,0.81,0.531,0.634,0.145,0.578,0.745,0.728,0.278
