oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.815,0.591,0.317,0.057,0.413,0.63,0.475,0.485
No,0,KNN,0.81,0.552,0.39,0.082,0.457,0.654,0.548,0.435
No,0,LR,0.815,0.571,0.39,0.075,0.464,0.657,0.549,0.434
No,0,DT,0.8,0.514,0.439,0.107,0.474,0.666,0.589,0.404
No,0,RF,0.835,0.654,0.415,0.057,0.507,0.679,0.576,0.416
No,0,LightGBM,0.825,0.625,0.366,0.057,0.462,0.655,0.527,0.45
No,0,Adaboost,0.8,0.519,0.341,0.082,0.412,0.63,0.498,0.469
No,0,GBDT,0.81,0.543,0.463,0.101,0.5,0.681,0.612,0.386
Random,0.01,SVM,0.78,0.462,0.439,0.132,0.45,0.653,0.583,0.408
Random,0.01,KNN,0.725,0.379,0.537,0.226,0.444,0.655,0.634,0.365
Random,0.01,LR,0.75,0.421,0.585,0.208,0.49,0.689,0.673,0.328
Random,0.01,DT,0.82,0.564,0.537,0.107,0.55,0.715,0.67,0.336
Random,0.01,RF,0.835,0.654,0.415,0.057,0.507,0.679,0.576,0.416
Random,0.01,LightGBM,0.83,0.621,0.439,0.069,0.514,0.685,0.597,0.4
Random,0.01,Adaboost,0.81,0.538,0.512,0.113,0.525,0.699,0.649,0.354
Random,0.01,GBDT,0.81,0.552,0.39,0.082,0.457,0.654,0.548,0.435
ADASYN,0.01,SVM,0.72,0.364,0.488,0.22,0.417,0.634,0.6,0.394
ADASYN,0.01,KNN,0.705,0.364,0.585,0.264,0.449,0.661,0.652,0.348
ADASYN,0.01,LR,0.69,0.36,0.659,0.302,0.466,0.678,0.678,0.322
ADASYN,0.01,DT,0.785,0.48,0.585,0.164,0.527,0.711,0.689,0.315
ADASYN,0.01,RF,0.82,0.576,0.463,0.088,0.514,0.688,0.615,0.384
ADASYN,0.01,LightGBM,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
ADASYN,0.01,Adaboost,0.775,0.45,0.439,0.138,0.444,0.65,0.582,0.409
ADASYN,0.01,GBDT,0.825,0.588,0.488,0.088,0.533,0.7,0.636,0.367
BorderlineSMOTE,0.01,SVM,0.73,0.377,0.488,0.208,0.426,0.64,0.604,0.391
BorderlineSMOTE,0.01,KNN,0.745,0.414,0.585,0.214,0.485,0.686,0.671,0.33
BorderlineSMOTE,0.01,LR,0.73,0.393,0.585,0.233,0.471,0.676,0.664,0.336
BorderlineSMOTE,0.01,DT,0.775,0.457,0.512,0.157,0.483,0.677,0.637,0.362
BorderlineSMOTE,0.01,RF,0.83,0.6,0.512,0.088,0.553,0.712,0.656,0.351
BorderlineSMOTE,0.01,LightGBM,0.825,0.6,0.439,0.075,0.507,0.682,0.595,0.4
BorderlineSMOTE,0.01,Adaboost,0.8,0.513,0.488,0.119,0.5,0.684,0.628,0.372
BorderlineSMOTE,0.01,GBDT,0.835,0.618,0.512,0.082,0.56,0.715,0.658,0.35
SMOTE,0.02,SVM,0.725,0.37,0.488,0.214,0.421,0.637,0.602,0.392
SMOTE,0.02,KNN,0.71,0.365,0.561,0.252,0.442,0.655,0.641,0.358
SMOTE,0.02,LR,0.705,0.359,0.561,0.258,0.438,0.652,0.639,0.36
SMOTE,0.02,DT,0.77,0.449,0.537,0.17,0.489,0.683,0.652,0.349
SMOTE,0.02,RF,0.82,0.571,0.488,0.094,0.526,0.697,0.634,0.368
SMOTE,0.02,LightGBM,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
