oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.85,0.789,0.366,0.025,0.5,0.67,0.532,0.449
No,0,KNN,0.835,0.667,0.39,0.05,0.492,0.67,0.553,0.433
No,0,LR,0.87,0.759,0.537,0.044,0.629,0.746,0.687,0.329
No,0,DT,0.79,0.488,0.488,0.132,0.488,0.678,0.625,0.374
No,0,RF,0.855,0.7,0.512,0.057,0.592,0.728,0.664,0.347
No,0,LightGBM,0.87,0.759,0.537,0.044,0.629,0.746,0.687,0.329
No,0,Adaboost,0.815,0.556,0.488,0.101,0.519,0.694,0.633,0.369
No,0,GBDT,0.86,0.71,0.537,0.057,0.611,0.74,0.684,0.33
Random,0.01,SVM,0.775,0.47,0.756,0.22,0.579,0.768,0.768,0.232
Random,0.01,KNN,0.765,0.448,0.634,0.201,0.525,0.716,0.707,0.295
Random,0.01,LR,0.785,0.482,0.659,0.182,0.557,0.738,0.73,0.274
Random,0.01,DT,0.815,0.543,0.61,0.132,0.575,0.739,0.716,0.291
Random,0.01,RF,0.865,0.694,0.61,0.069,0.649,0.77,0.737,0.28
Random,0.01,LightGBM,0.865,0.719,0.561,0.057,0.63,0.752,0.704,0.313
Random,0.01,Adaboost,0.83,0.571,0.683,0.132,0.622,0.775,0.764,0.243
Random,0.01,GBDT,0.85,0.667,0.537,0.069,0.595,0.734,0.681,0.331
ADASYN,0.11,SVM,0.75,0.437,0.756,0.252,0.554,0.752,0.752,0.248
ADASYN,0.11,KNN,0.775,0.468,0.707,0.208,0.563,0.75,0.747,0.254
ADASYN,0.11,LR,0.73,0.411,0.732,0.27,0.526,0.731,0.731,0.269
ADASYN,0.11,DT,0.82,0.549,0.683,0.145,0.609,0.769,0.759,0.246
ADASYN,0.11,RF,0.85,0.617,0.707,0.113,0.659,0.797,0.787,0.222
ADASYN,0.11,LightGBM,0.85,0.649,0.585,0.082,0.615,0.752,0.715,0.299
ADASYN,0.11,Adaboost,0.825,0.575,0.561,0.107,0.568,0.727,0.689,0.32
ADASYN,0.11,GBDT,0.87,0.667,0.732,0.094,0.698,0.819,0.809,0.201
BorderlineSMOTE,0.07,SVM,0.74,0.418,0.683,0.245,0.519,0.719,0.717,0.283
BorderlineSMOTE,0.07,KNN,0.8,0.509,0.683,0.17,0.583,0.757,0.749,0.254
BorderlineSMOTE,0.07,LR,0.74,0.418,0.683,0.245,0.519,0.719,0.717,0.283
BorderlineSMOTE,0.07,DT,0.81,0.528,0.683,0.157,0.596,0.763,0.754,0.25
BorderlineSMOTE,0.07,RF,0.85,0.628,0.659,0.101,0.643,0.779,0.76,0.252
BorderlineSMOTE,0.07,LightGBM,0.85,0.649,0.585,0.082,0.615,0.752,0.715,0.299
BorderlineSMOTE,0.07,Adaboost,0.82,0.564,0.537,0.107,0.55,0.715,0.67,0.336
BorderlineSMOTE,0.07,GBDT,0.825,0.571,0.585,0.113,0.578,0.736,0.705,0.304
SMOTE,0.04,SVM,0.77,0.462,0.732,0.22,0.566,0.756,0.755,0.245
SMOTE,0.04,KNN,0.77,0.459,0.683,0.208,0.549,0.738,0.734,0.268
SMOTE,0.04,LR,0.765,0.452,0.683,0.214,0.544,0.735,0.731,0.27
SMOTE,0.04,DT,0.765,0.444,0.585,0.189,0.505,0.698,0.68,0.322
SMOTE,0.04,RF,0.85,0.628,0.659,0.101,0.643,0.779,0.76,0.252
SMOTE,0.04,LightGBM,0.865,0.694,0.61,0.069,0.649,0.77,0.737,0.28
SMOTE,0.04,Adaboost,0.845,0.639,0.561,0.082,0.597,0.74,0.696,0.316
SMOTE,0.04,GBDT,0.86,0.667,0.634,0.082,0.65,0.776,0.75,0.265
SVMSMOTE,0.08,SVM,0.84,0.6,0.659,0.113,0.628,0.773,0.756,0.254
SVMSMOTE,0.08,KNN,0.795,0.5,0.634,0.164,0.559,0.735,0.721,0.283
SVMSMOTE,0.08,LR,0.795,0.5,0.585,0.151,0.539,0.717,0.693,0.312
SVMSMOTE,0.08,DT,0.805,0.521,0.61,0.145,0.562,0.733,0.712,0.294
SVMSMOTE,0.08,RF,0.855,0.643,0.659,0.094,0.651,0.782,0.763,0.25
SVMSMOTE,0.08,LightGBM,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
SVMSMOTE,0.08,Adaboost,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
SVMSMOTE,0.08,GBDT,0.85,0.628,0.659,0.101,0.643,0.779,0.76,0.252
SMOTUNED,38.85,SVM,0.81,0.526,0.732,0.17,0.612,0.781,0.778,0.225
SMOTUNED,39.95,KNN,0.765,0.446,0.61,0.195,0.515,0.707,0.694,0.308
SMOTUNED,501.64,LR,0.775,0.467,0.683,0.201,0.554,0.741,0.736,0.266
SMOTUNED,45.98,DT,0.755,0.431,0.61,0.208,0.505,0.701,0.689,0.313
SMOTUNED,258.24,RF,0.81,0.529,0.659,0.151,0.587,0.754,0.742,0.264
SMOTUNED,249.4,LightGBM,0.805,0.517,0.756,0.182,0.614,0.787,0.786,0.215
SMOTUNED,284.23,Adaboost,0.81,0.531,0.634,0.145,0.578,0.745,0.728,0.278
SMOTUNED,566.36,GBDT,0.825,0.554,0.756,0.157,0.639,0.799,0.797,0.205
DAZZLE,778.5,SVM,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
DAZZLE,778.5,KNN,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
DAZZLE,778.5,LR,0.21,0.206,1.0,0.994,0.342,0.503,0.012,0.703
DAZZLE,778.5,DT,0.7,0.0,0.0,0.119,0.0,0.44,0.0,0.712
DAZZLE,778.5,RF,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
DAZZLE,778.5,LightGBM,0.21,0.206,1.0,0.994,0.342,0.503,0.012,0.703
DAZZLE,778.5,Adaboost,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
DAZZLE,778.5,GBDT,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,54.13,SVM,0.795,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,54.13,KNN,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,54.13,LR,0.22,0.208,1.0,0.981,0.345,0.509,0.037,0.694
WGAN,54.13,DT,0.61,0.049,0.049,0.245,0.049,0.402,0.092,0.695
WGAN,54.13,RF,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,54.13,LightGBM,0.235,0.211,1.0,0.962,0.349,0.519,0.073,0.68
WGAN,54.13,Adaboost,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,54.13,GBDT,0.53,0.127,0.22,0.39,0.161,0.415,0.323,0.617
RP,0.5347678661346436,SVM,0.76,0.448,0.732,0.233,0.556,0.75,0.749,0.251
RP,0.5347678661346436,KNN,0.765,0.442,0.561,0.182,0.495,0.689,0.665,0.336
RP,0.5347678661346436,LR,0.775,0.466,0.659,0.195,0.545,0.732,0.724,0.278
RP,0.5347678661346436,DT,0.745,0.422,0.659,0.233,0.514,0.713,0.709,0.292
RP,0.5347678661346436,RF,0.86,0.651,0.683,0.094,0.667,0.794,0.779,0.234
RP,0.5347678661346436,LightGBM,0.86,0.697,0.561,0.063,0.622,0.749,0.702,0.314
RP,0.5347678661346436,Adaboost,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
RP,0.5347678661346436,GBDT,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
Diveplane1,57.21473789215088,SVM,0.735,0.417,0.732,0.264,0.531,0.734,0.734,0.266
Diveplane1,57.21473789215088,KNN,0.735,0.423,0.805,0.283,0.555,0.761,0.758,0.243
Diveplane1,57.21473789215088,LR,0.72,0.403,0.756,0.289,0.525,0.733,0.733,0.268
Diveplane1,57.21473789215088,DT,0.75,0.431,0.683,0.233,0.528,0.725,0.723,0.278
Diveplane1,57.21473789215088,RF,0.755,0.441,0.732,0.239,0.55,0.746,0.746,0.254
Diveplane1,57.21473789215088,LightGBM,0.75,0.431,0.683,0.233,0.528,0.725,0.723,0.278
Diveplane1,57.21473789215088,Adaboost,0.765,0.457,0.78,0.239,0.577,0.771,0.771,0.229
Diveplane1,57.21473789215088,GBDT,0.73,0.411,0.732,0.27,0.526,0.731,0.731,0.269
Diveplane2,54.34770369529724,SVM,0.77,0.459,0.683,0.208,0.549,0.738,0.734,0.268
Diveplane2,54.34770369529724,KNN,0.785,0.478,0.537,0.151,0.506,0.693,0.658,0.345
Diveplane2,54.34770369529724,LR,0.74,0.413,0.634,0.233,0.5,0.701,0.694,0.307
Diveplane2,54.34770369529724,DT,0.75,0.426,0.634,0.22,0.51,0.707,0.7,0.302
Diveplane2,54.34770369529724,RF,0.855,0.636,0.683,0.101,0.659,0.791,0.776,0.235
Diveplane2,54.34770369529724,LightGBM,0.85,0.649,0.585,0.082,0.615,0.752,0.715,0.299
Diveplane2,54.34770369529724,Adaboost,0.83,0.585,0.585,0.107,0.585,0.739,0.707,0.303
Diveplane2,54.34770369529724,GBDT,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
DS,0.31139063835144043,SVM,0.83,0.706,0.293,0.031,0.414,0.631,0.45,0.501
DS,0.31139063835144043,KNN,0.81,0.556,0.366,0.075,0.441,0.645,0.524,0.452
DS,0.31139063835144043,LR,0.865,0.769,0.488,0.038,0.597,0.725,0.647,0.363
DS,0.31139063835144043,DT,0.845,0.614,0.659,0.107,0.635,0.776,0.758,0.253
DS,0.31139063835144043,RF,0.88,0.758,0.61,0.05,0.676,0.78,0.743,0.278
DS,0.31139063835144043,LightGBM,0.855,0.714,0.488,0.05,0.58,0.719,0.645,0.364
DS,0.31139063835144043,Adaboost,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
DS,0.31139063835144043,GBDT,0.85,0.667,0.537,0.069,0.595,0.734,0.681,0.331
SDV_FASTML,0.7429616451263428,SVM,0.855,0.688,0.537,0.063,0.603,0.737,0.682,0.331
SDV_FASTML,0.7429616451263428,KNN,0.815,0.571,0.39,0.075,0.464,0.657,0.549,0.434
SDV_FASTML,0.7429616451263428,LR,0.84,0.636,0.512,0.075,0.568,0.718,0.659,0.349
SDV_FASTML,0.7429616451263428,DT,0.76,0.434,0.561,0.189,0.489,0.686,0.663,0.338
SDV_FASTML,0.7429616451263428,RF,0.855,0.658,0.61,0.082,0.633,0.764,0.733,0.282
SDV_FASTML,0.7429616451263428,LightGBM,0.86,0.724,0.512,0.05,0.6,0.731,0.665,0.347
SDV_FASTML,0.7429616451263428,Adaboost,0.825,0.588,0.488,0.088,0.533,0.7,0.636,0.367
SDV_FASTML,0.7429616451263428,GBDT,0.85,0.657,0.561,0.075,0.605,0.743,0.698,0.315
SDV_GC,5.637516736984253,SVM,0.84,0.696,0.39,0.044,0.5,0.673,0.554,0.432
SDV_GC,5.637516736984253,KNN,0.82,0.586,0.415,0.075,0.486,0.67,0.573,0.417
SDV_GC,5.637516736984253,LR,0.87,0.759,0.537,0.044,0.629,0.746,0.687,0.329
SDV_GC,5.637516736984253,DT,0.825,0.565,0.634,0.126,0.598,0.754,0.735,0.274
SDV_GC,5.637516736984253,RF,0.87,0.759,0.537,0.044,0.629,0.746,0.687,0.329
SDV_GC,5.637516736984253,LightGBM,0.855,0.7,0.512,0.057,0.592,0.728,0.664,0.347
SDV_GC,5.637516736984253,Adaboost,0.815,0.559,0.463,0.094,0.507,0.685,0.613,0.385
SDV_GC,5.637516736984253,GBDT,0.865,0.733,0.537,0.05,0.62,0.743,0.686,0.33
SDV_GAN,38.81968545913696,SVM,0.845,0.708,0.415,0.044,0.523,0.685,0.578,0.415
SDV_GAN,38.81968545913696,KNN,0.83,0.621,0.439,0.069,0.514,0.685,0.597,0.4
SDV_GAN,38.81968545913696,LR,0.86,0.741,0.488,0.044,0.588,0.722,0.646,0.364
SDV_GAN,38.81968545913696,DT,0.745,0.4,0.488,0.189,0.44,0.65,0.609,0.386
SDV_GAN,38.81968545913696,RF,0.875,0.711,0.659,0.069,0.684,0.795,0.771,0.246
SDV_GAN,38.81968545913696,LightGBM,0.865,0.75,0.512,0.044,0.609,0.734,0.667,0.346
SDV_GAN,38.81968545913696,Adaboost,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
SDV_GAN,38.81968545913696,GBDT,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
DAZZLE1,280.9333918094635,SVM,0.85,0.789,0.366,0.025,0.5,0.67,0.532,0.449
DAZZLE1,280.9333918094635,KNN,0.815,0.577,0.366,0.069,0.448,0.648,0.525,0.451
DAZZLE1,280.9333918094635,LR,0.85,0.677,0.512,0.063,0.583,0.725,0.662,0.348
DAZZLE1,280.9333918094635,DT,0.785,0.471,0.39,0.113,0.427,0.639,0.542,0.439
DAZZLE1,280.9333918094635,RF,0.865,0.719,0.561,0.057,0.63,0.752,0.704,0.313
DAZZLE1,280.9333918094635,LightGBM,0.85,0.72,0.439,0.044,0.545,0.697,0.602,0.398
DAZZLE1,280.9333918094635,Adaboost,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
DAZZLE1,280.9333918094635,GBDT,0.85,0.677,0.512,0.063,0.583,0.725,0.662,0.348
DAZZLE2,438.99534153938293,SVM,0.84,0.588,0.732,0.132,0.652,0.8,0.794,0.211
DAZZLE2,438.99534153938293,KNN,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
