oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.86,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.863,0.533,0.19,0.027,0.281,0.582,0.319,0.573
No,0,LR,0.85,0.412,0.167,0.039,0.237,0.564,0.284,0.59
No,0,DT,0.803,0.311,0.333,0.12,0.322,0.607,0.483,0.479
No,0,RF,0.87,0.636,0.167,0.016,0.264,0.576,0.285,0.589
No,0,LightGBM,0.873,0.611,0.262,0.027,0.367,0.617,0.413,0.522
No,0,Adaboost,0.843,0.407,0.262,0.062,0.319,0.6,0.409,0.524
No,0,GBDT,0.823,0.323,0.238,0.081,0.274,0.578,0.378,0.542
Random,0.01,SVM,0.807,0.371,0.548,0.151,0.442,0.698,0.666,0.337
Random,0.01,KNN,0.79,0.328,0.476,0.159,0.388,0.659,0.608,0.387
Random,0.01,LR,0.753,0.3,0.571,0.217,0.393,0.677,0.661,0.34
Random,0.01,DT,0.82,0.333,0.286,0.093,0.308,0.596,0.435,0.509
Random,0.01,RF,0.883,0.667,0.333,0.027,0.444,0.653,0.497,0.472
Random,0.01,LightGBM,0.877,0.586,0.405,0.047,0.479,0.679,0.568,0.422
Random,0.01,Adaboost,0.793,0.344,0.524,0.163,0.415,0.681,0.644,0.356
Random,0.01,GBDT,0.847,0.429,0.286,0.062,0.343,0.612,0.438,0.507
ADASYN,0.02,SVM,0.803,0.361,0.524,0.151,0.427,0.686,0.648,0.353
ADASYN,0.02,KNN,0.76,0.312,0.595,0.213,0.41,0.691,0.678,0.323
ADASYN,0.02,LR,0.747,0.307,0.643,0.236,0.415,0.703,0.698,0.303
ADASYN,0.02,DT,0.767,0.281,0.429,0.178,0.34,0.625,0.563,0.423
ADASYN,0.02,RF,0.88,0.594,0.452,0.05,0.514,0.701,0.613,0.389
ADASYN,0.02,LightGBM,0.863,0.517,0.357,0.054,0.423,0.651,0.518,0.456
ADASYN,0.02,Adaboost,0.823,0.388,0.452,0.116,0.418,0.668,0.598,0.396
ADASYN,0.02,GBDT,0.84,0.421,0.381,0.085,0.4,0.648,0.538,0.442
BorderlineSMOTE,0.01,SVM,0.813,0.379,0.524,0.14,0.44,0.692,0.651,0.351
BorderlineSMOTE,0.01,KNN,0.783,0.328,0.524,0.174,0.404,0.675,0.641,0.359
BorderlineSMOTE,0.01,LR,0.757,0.299,0.548,0.209,0.387,0.669,0.647,0.352
BorderlineSMOTE,0.01,DT,0.813,0.354,0.405,0.12,0.378,0.642,0.554,0.429
BorderlineSMOTE,0.01,RF,0.877,0.586,0.405,0.047,0.479,0.679,0.568,0.422
BorderlineSMOTE,0.01,LightGBM,0.87,0.552,0.381,0.05,0.451,0.665,0.544,0.439
BorderlineSMOTE,0.01,Adaboost,0.807,0.333,0.381,0.124,0.356,0.628,0.531,0.446
BorderlineSMOTE,0.01,GBDT,0.843,0.442,0.452,0.093,0.447,0.68,0.604,0.393
SMOTE,0.01,SVM,0.807,0.352,0.452,0.136,0.396,0.658,0.594,0.399
SMOTE,0.01,KNN,0.753,0.305,0.595,0.221,0.403,0.687,0.675,0.326
SMOTE,0.01,LR,0.753,0.305,0.595,0.221,0.403,0.687,0.675,0.326
SMOTE,0.01,DT,0.787,0.296,0.381,0.147,0.333,0.617,0.527,0.45
SMOTE,0.01,RF,0.867,0.533,0.381,0.054,0.444,0.663,0.543,0.439
SMOTE,0.01,LightGBM,0.87,0.548,0.405,0.054,0.466,0.675,0.567,0.423
SMOTE,0.01,Adaboost,0.837,0.419,0.429,0.097,0.424,0.666,0.581,0.41
SMOTE,0.01,GBDT,0.833,0.389,0.333,0.085,0.359,0.624,0.489,0.475
SVMSMOTE,0.03,SVM,0.857,0.487,0.452,0.078,0.469,0.687,0.607,0.391
SVMSMOTE,0.03,KNN,0.81,0.353,0.429,0.128,0.387,0.65,0.575,0.414
SVMSMOTE,0.03,LR,0.837,0.431,0.524,0.112,0.473,0.706,0.659,0.346
SVMSMOTE,0.03,DT,0.747,0.234,0.357,0.19,0.283,0.584,0.496,0.474
SVMSMOTE,0.03,RF,0.893,0.647,0.524,0.047,0.579,0.739,0.676,0.338
SVMSMOTE,0.03,LightGBM,0.877,0.593,0.381,0.043,0.464,0.669,0.545,0.439
SVMSMOTE,0.03,Adaboost,0.827,0.391,0.429,0.109,0.409,0.66,0.579,0.411
SVMSMOTE,0.03,GBDT,0.867,0.529,0.429,0.062,0.474,0.683,0.588,0.406
SMOTUNED,35.54,SVM,0.747,0.293,0.571,0.225,0.387,0.673,0.658,0.342
SMOTUNED,27.28,KNN,0.723,0.28,0.619,0.26,0.385,0.68,0.674,0.326
SMOTUNED,665.8,LR,0.73,0.286,0.619,0.252,0.391,0.684,0.677,0.323
SMOTUNED,35.62,DT,0.697,0.218,0.452,0.264,0.295,0.594,0.56,0.43
SMOTUNED,182.07,RF,0.77,0.329,0.619,0.205,0.43,0.707,0.696,0.306
SMOTUNED,71.86,LightGBM,0.783,0.333,0.548,0.178,0.414,0.685,0.657,0.344
SMOTUNED,263.42,Adaboost,0.75,0.306,0.619,0.229,0.409,0.695,0.687,0.314
SMOTUNED,501.05,GBDT,0.77,0.329,0.619,0.205,0.43,0.707,0.696,0.306
DAZZLE1,329.97303462028503,SVM,0.863,0.571,0.095,0.012,0.163,0.542,0.174,0.64
DAZZLE1,329.97303462028503,KNN,0.857,0.462,0.143,0.027,0.218,0.558,0.249,0.606
