monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_contributors_2mo
64,3,1,0,1,1,6,0,2,6,255,60,3,2
2,2,1,0,1,1,0,0,2,16,81,16,2,0
2,2,1,0,1,1,2,0,1,1,34,11,4,1
0,0,0,0,0,0,0,0,0,0,29,10,1,1
4,1,0,0,0,0,0,1,0,6,40,12,2,0
1,1,0,0,0,0,0,4,1,18,69,24,3,1
0,0,0,0,0,0,0,1,0,8,31,8,1,1
2,1,0,0,0,0,0,3,0,4,46,22,0,1
10,1,2,0,2,1,0,1,4,2,30,13,1,0
5,1,0,0,0,0,0,8,1,41,37,15,1,1
0,0,1,1,0,0,0,3,2,11,45,26,0,0
8,1,0,0,0,0,0,4,1,18,32,10,0,0
0,0,0,0,0,0,0,1,0,2,26,16,3,0
0,0,0,0,0,0,0,2,0,2,16,11,2,0
0,0,0,0,0,0,0,0,0,0,20,8,0,0
0,0,0,0,0,0,0,3,1,6,25,7,0,1
0,0,0,0,0,0,0,2,0,11,45,11,1,1
1,1,1,0,0,0,0,0,0,0,21,10,1,1
1,1,0,0,1,1,0,1,2,3,21,8,0,0
1,1,0,0,0,0,0,9,8,40,24,13,0,0
0,0,0,0,0,0,0,3,0,7,30,5,0,0
0,0,0,0,0,0,0,1,0,1,17,9,0,0
0,0,0,0,0,0,0,3,0,3,21,17,2,0
0,0,0,0,0,0,0,1,0,1,28,14,0,0
0,0,0,0,0,0,0,1,0,2,31,16,0,0
0,0,0,0,0,0,0,1,0,2,28,6,1,0
0,0,0,0,0,0,0,1,0,1,64,9,1,0
0,0,0,0,0,0,0,0,1,1,45,15,0,0
0,0,0,0,0,0,0,1,0,1,26,6,0,0
0,0,0,0,0,0,0,0,0,0,14,7,0,0
0,0,0,0,0,0,0,0,0,0,23,10,0,0
0,0,0,0,0,0,0,0,3,6,37,15,0,0
0,0,0,0,0,0,0,0,0,0,28,6,0,0
0,0,0,0,0,0,0,3,2,4,52,14,0,2
0,0,0,0,0,0,0,1,0,1,28,14,0,0
2,2,1,0,1,1,2,1,1,4,27,7,0,0
0,0,0,0,0,0,0,2,1,1,47,10,0,1
